13.6028 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
14.7722 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

14.7727 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f85c9212370>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f85c9212310>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7f85c9212160>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7f85c9279ee0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
14.7730 	EXP 	window1: mouseVisible = True
14.7730 	EXP 	window1: backgroundImage = ''
14.7730 	EXP 	window1: backgroundFit = 'none'
14.7769 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
14.7769 	EXP 	window1: recordFrameIntervals = False
14.8549 	EXP 	window1: recordFrameIntervals = True
15.7001 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

15.7007 	EXP 	window1: mouseVisible = False
15.7008 	EXP 	image_similarity_rating: status = STARTED
15.7012 	EXP 	window1: mouseVisible = True
15.7374 	EXP 	Created slide_img = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='slide_img', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.7  , 0.952]), texRes=128.0, units='height', win=Window(...))
15.7376 	EXP 	window1: mouseVisible = True
15.7391 	EXP 	Created polygon = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=1.0, name='polygon', opacity=1.0, ori=0.0, pos=array([-0.35,  0.2 ]), size=array([0.41  , 0.3075]), units='height', vertices=ndarray(...), win=Window(...))
15.7392 	EXP 	window1: mouseVisible = True
15.7405 	EXP 	Created polygon_2 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-2.0, draggable=False, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=1.0, name='polygon_2', opacity=1.0, ori=0.0, pos=array([0.35, 0.2 ]), size=array([0.41  , 0.3075]), units='height', vertices=ndarray(...), win=Window(...))
15.7406 	EXP 	window1: mouseVisible = True
15.7547 	EXP 	Created image1 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image1', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='height', win=Window(...))
15.7547 	EXP 	window1: mouseVisible = True
15.7669 	EXP 	Created image2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=512.0, units='height', win=Window(...))
15.7771 	EXP 	window1: mouseVisible = True
15.7774 	EXP 	window1: mouseVisible = True
15.7800 	EXP 	window1: mouseVisible = True
15.7801 	EXP 	window1: mouseVisible = True
15.7804 	EXP 	window1: mouseVisible = True
15.7807 	EXP 	window1: mouseVisible = True
15.7927 	EXP 	window1: mouseVisible = True
15.7928 	EXP 	window1: mouseVisible = True
15.7931 	EXP 	window1: mouseVisible = True
15.7934 	EXP 	window1: mouseVisible = True
15.8009 	EXP 	window1: mouseVisible = True
15.8010 	EXP 	window1: mouseVisible = True
15.8013 	EXP 	window1: mouseVisible = True
15.8016 	EXP 	window1: mouseVisible = True
15.8075 	EXP 	window1: mouseVisible = True
15.8076 	EXP 	window1: mouseVisible = True
15.8079 	EXP 	window1: mouseVisible = True
15.8081 	EXP 	window1: mouseVisible = True
15.8115 	EXP 	window1: mouseVisible = True
15.8116 	EXP 	window1: mouseVisible = True
15.8119 	EXP 	window1: mouseVisible = True
15.8122 	EXP 	window1: mouseVisible = True
15.8179 	EXP 	window1: mouseVisible = True
15.8180 	EXP 	window1: mouseVisible = True
15.8183 	EXP 	window1: mouseVisible = True
15.8185 	EXP 	window1: mouseVisible = True
15.8219 	EXP 	window1: mouseVisible = True
