19.2899 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
20.4593 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

21.5143 	EXP 	window1: mouseVisible = True
21.5176 	EXP 	window1: mouseVisible = True
21.5177 	EXP 	window1: mouseVisible = True
21.5180 	EXP 	window1: mouseVisible = True
21.5183 	EXP 	window1: mouseVisible = True
21.5240 	EXP 	window1: mouseVisible = True
21.5241 	EXP 	window1: mouseVisible = True
21.5244 	EXP 	window1: mouseVisible = True
21.5246 	EXP 	window1: mouseVisible = True
21.5280 	EXP 	window1: mouseVisible = True
21.5281 	EXP 	window1: mouseVisible = True
21.5284 	EXP 	window1: mouseVisible = True
21.5286 	EXP 	window1: mouseVisible = True
21.5347 	EXP 	window1: mouseVisible = True
21.5348 	EXP 	window1: mouseVisible = True
21.5351 	EXP 	window1: mouseVisible = True
21.5354 	EXP 	window1: mouseVisible = True
21.5387 	EXP 	window1: mouseVisible = True
21.5410 	EXP 	window1: mouseVisible = True
21.5711 	EXP 	Created rating_1 = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-5, fillColor=None, flip=False, font='Verdana', granularity=1.0, labelColor=None, labelHeight=0.017499999999999998, labelWrapWidth=None, labels=tuple(...), lineColor=None, markerColor=None, name='rating_1', opacity=None, ori=0.0, pos=array([0., 0.]), readOnly=False, self=UNKNOWN, size=array([1., 1.]), startValue=None, style='rating', styleTweaks=['triangleMarker'], ticks=array([1, 2, 3, 4, 5, 6, 7]), units='height', win=Window(...))
21.5713 	EXP 	window1: mouseVisible = True
21.6182 	EXP 	Created question = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-6.0, draggable=False, flipHoriz=False, flipVert=False, font='Verdana', fontFiles=[], height=1.0, italic=False, languageStyle='LTR', name='question', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Content', units='height', win=Window(...), wrapWidth=1)
21.6202 	EXP 	window1: mouseVisible = True
21.6205 	EXP 	window1: mouseVisible = True
21.6218 	EXP 	window1: mouseVisible = True
21.6218 	EXP 	window1: mouseVisible = True
21.6221 	EXP 	window1: mouseVisible = True
21.6224 	EXP 	window1: mouseVisible = True
21.6273 	EXP 	window1: mouseVisible = True
21.6273 	EXP 	window1: mouseVisible = True
21.6276 	EXP 	window1: mouseVisible = True
21.6279 	EXP 	window1: mouseVisible = True
21.6313 	EXP 	window1: mouseVisible = True
21.6314 	EXP 	window1: mouseVisible = True
21.6317 	EXP 	window1: mouseVisible = True
21.6320 	EXP 	window1: mouseVisible = True
21.6354 	EXP 	window1: mouseVisible = True
21.6355 	EXP 	window1: mouseVisible = True
21.6358 	EXP 	window1: mouseVisible = True
21.6360 	EXP 	window1: mouseVisible = True
21.6394 	EXP 	window1: mouseVisible = True
21.6394 	EXP 	window1: mouseVisible = True
21.6397 	EXP 	window1: mouseVisible = True
