28.9021 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
30.0833 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

30.0839 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fe2f9bab4c0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fe2f9bab460>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fe2f9bab2e0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fe2f9c12070>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
30.0841 	EXP 	window1: mouseVisible = True
30.0841 	EXP 	window1: backgroundImage = ''
30.0841 	EXP 	window1: backgroundFit = 'none'
30.0879 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
30.0880 	EXP 	window1: recordFrameIntervals = False
30.1664 	EXP 	window1: recordFrameIntervals = True
31.0041 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

31.0045 	EXP 	window1: mouseVisible = False
31.0046 	EXP 	image_similarity_rating: status = STARTED
31.0050 	EXP 	window1: mouseVisible = True
31.0405 	EXP 	Created slide_img = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='slide_img', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.7  , 0.952]), texRes=128.0, units='height', win=Window(...))
31.0407 	EXP 	window1: mouseVisible = True
31.0421 	EXP 	Created polygon = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=1.0, name='polygon', opacity=1.0, ori=0.0, pos=array([-0.35,  0.2 ]), size=array([0.41  , 0.3075]), units='height', vertices=ndarray(...), win=Window(...))
31.0422 	EXP 	window1: mouseVisible = True
31.0435 	EXP 	Created polygon_2 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-2.0, draggable=False, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=1.0, name='polygon_2', opacity=1.0, ori=0.0, pos=array([0.35, 0.2 ]), size=array([0.41  , 0.3075]), units='height', vertices=ndarray(...), win=Window(...))
31.0436 	EXP 	window1: mouseVisible = True
31.0573 	EXP 	Created image1 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image1', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=128.0, units='height', win=Window(...))
31.0574 	EXP 	window1: mouseVisible = True
31.0696 	EXP 	Created image2 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-4.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='image2', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1., 1.]), texRes=512.0, units='height', win=Window(...))
31.0798 	EXP 	window1: mouseVisible = True
31.0801 	EXP 	window1: mouseVisible = True
31.0826 	EXP 	window1: mouseVisible = True
31.0827 	EXP 	window1: mouseVisible = True
31.0831 	EXP 	window1: mouseVisible = True
31.0834 	EXP 	window1: mouseVisible = True
31.0953 	EXP 	window1: mouseVisible = True
31.0954 	EXP 	window1: mouseVisible = True
31.0957 	EXP 	window1: mouseVisible = True
31.0960 	EXP 	window1: mouseVisible = True
31.1034 	EXP 	window1: mouseVisible = True
31.1035 	EXP 	window1: mouseVisible = True
31.1038 	EXP 	window1: mouseVisible = True
31.1041 	EXP 	window1: mouseVisible = True
31.1099 	EXP 	window1: mouseVisible = True
31.1100 	EXP 	window1: mouseVisible = True
31.1103 	EXP 	window1: mouseVisible = True
31.1105 	EXP 	window1: mouseVisible = True
31.1139 	EXP 	window1: mouseVisible = True
31.1139 	EXP 	window1: mouseVisible = True
31.1142 	EXP 	window1: mouseVisible = True
31.1145 	EXP 	window1: mouseVisible = True
31.1201 	EXP 	window1: mouseVisible = True
31.1202 	EXP 	window1: mouseVisible = True
31.1205 	EXP 	window1: mouseVisible = True
31.1208 	EXP 	window1: mouseVisible = True
31.1241 	EXP 	window1: mouseVisible = True
31.1242 	EXP 	window1: mouseVisible = True
31.1245 	EXP 	window1: mouseVisible = True
31.1247 	EXP 	window1: mouseVisible = True
31.1304 	EXP 	window1: mouseVisible = True
31.1304 	EXP 	window1: mouseVisible = True
31.1307 	EXP 	window1: mouseVisible = True
31.1310 	EXP 	window1: mouseVisible = True
31.1343 	EXP 	window1: mouseVisible = True
31.1344 	EXP 	window1: mouseVisible = True
31.1346 	EXP 	window1: mouseVisible = True
31.1349 	EXP 	window1: mouseVisible = True
31.1406 	EXP 	window1: mouseVisible = True
31.1407 	EXP 	window1: mouseVisible = True
31.1410 	EXP 	window1: mouseVisible = True
31.1413 	EXP 	window1: mouseVisible = True
31.1445 	EXP 	window1: mouseVisible = True
31.1446 	EXP 	window1: mouseVisible = True
31.1449 	EXP 	window1: mouseVisible = True
31.1452 	EXP 	window1: mouseVisible = True
31.1508 	EXP 	window1: mouseVisible = True
31.1509 	EXP 	window1: mouseVisible = True
31.1512 	EXP 	window1: mouseVisible = True
31.1515 	EXP 	window1: mouseVisible = True
31.1548 	EXP 	window1: mouseVisible = True
31.1548 	EXP 	window1: mouseVisible = True
31.1551 	EXP 	window1: mouseVisible = True
31.1554 	EXP 	window1: mouseVisible = True
31.1614 	EXP 	window1: mouseVisible = True
31.1615 	EXP 	window1: mouseVisible = True
31.1618 	EXP 	window1: mouseVisible = True
31.1621 	EXP 	window1: mouseVisible = True
31.1654 	EXP 	window1: mouseVisible = True
31.1670 	EXP 	window1: mouseVisible = True
