,101_kit_copy.jpg,101_kit_copy.jpg,101_kit_copy.jpg,102_kit_copy.jpg,102_kit_copy.jpg,102_kit_copy.jpg,103_kit_copy.jpg,103_kit_copy.jpg,103_kit_copy.jpg,104_kit_copy.jpg,104_kit_copy.jpg,104_kit_copy.jpg,105_kit_copy.jpg,105_kit_copy.jpg,105_kit_copy.jpg,106_kit_copy.jpg,106_kit_copy.jpg,106_kit_copy.jpg,109_kit_copy.jpg,109_kit_copy.jpg,109_kit_copy.jpg,111_kit_copy.jpg,111_kit_copy.jpg,111_kit_copy.jpg,112_kit_copy.jpg,112_kit_copy.jpg,112_kit_copy.jpg,113_kit_copy.jpg,113_kit_copy.jpg,113_kit_copy.jpg,114_kit_copy.jpg,114_kit_copy.jpg,114_kit_copy.jpg,116_kit_copy.jpg,116_kit_copy.jpg,116_kit_copy.jpg,117_kit_copy.jpg,117_kit_copy.jpg,117_kit_copy.jpg,118_kit_copy.jpg,118_kit_copy.jpg,118_kit_copy.jpg,119_kit_copy.jpg,119_kit_copy.jpg,119_kit_copy.jpg,120_kit_copy.jpg,120_kit_copy.jpg,120_kit_copy.jpg,121_kit_copy.jpg,121_kit_copy.jpg,121_kit_copy.jpg,122_kit_copy.jpg,122_kit_copy.jpg,122_kit_copy.jpg,123_kit_copy.jpg,123_kit_copy.jpg,123_kit_copy.jpg,124_kit_copy.jpg,124_kit_copy.jpg,124_kit_copy.jpg,125_kit_copy.jpg,125_kit_copy.jpg,125_kit_copy.jpg,126_kit_copy.jpg,126_kit_copy.jpg,126_kit_copy.jpg,127_kit_copy.jpg,127_kit_copy.jpg,127_kit_copy.jpg,129_kit_copy.jpg,129_kit_copy.jpg,129_kit_copy.jpg,130_kit_copy.jpg,130_kit_copy.jpg,130_kit_copy.jpg,131_kit_copy.jpg,131_kit_copy.jpg,131_kit_copy.jpg,132_kit_copy.jpg,132_kit_copy.jpg,132_kit_copy.jpg,134_kit_copy.jpg,134_kit_copy.jpg,134_kit_copy.jpg,135_kit_copy.jpg,135_kit_copy.jpg,135_kit_copy.jpg,136_kit_copy.jpg,136_kit_copy.jpg,136_kit_copy.jpg,137_kit_copy.jpg,137_kit_copy.jpg,137_kit_copy.jpg,138_kit_copy.jpg,138_kit_copy.jpg,138_kit_copy.jpg,139_kit_copy.jpg,139_kit_copy.jpg,139_kit_copy.jpg,140_kit_copy.jpg,140_kit_copy.jpg,140_kit_copy.jpg,141_kit_copy.jpg,141_kit_copy.jpg,141_kit_copy.jpg
101_kit_copy.jpg,0.0,0.043707497842573106,0.06508337564828781,0.07076598615177776,0.06489571341741507,0.05651748490648878,0.07305557663061635,0.06262479909227003,0.04164133244210555,0.10307965270937214,0.06207413071379042,0.06934630707008727,0.09230369746517164,0.10599615265935725,0.08604774228878842,0.05446602200999284,0.07944091384194907,0.047174242315067394,0.06773316422892972,0.04547503022093058,0.03542349781205545,0.04862767092839726,0.06554508725499009,0.07098986157711717,0.06451188534526464,0.0811930814413816,0.04059228891548816,0.05965521118199879,0.05134437577035822,0.05890082702776944,0.03700813633920674,0.06299061328568056,0.06794188680332913,0.03312892702556525,0.08195284326823471,0.06783311476493803,0.058816108815695545,0.06536839229735014,0.09208551760443384,0.08171365604596637,0.06439363657874919,0.05207642801314971,0.05033824766073891,0.055870468767748926,0.03523901450096045,0.05145651216551406,0.05546536842408667,0.06425937315092833,0.06733100438606154,0.04116608393535015,0.07169788648458952,0.060375501421612854,0.09852028701830884,0.08677690701278185,0.060599111936970984,0.059893497710330146,0.08283443719556549,0.07248098688081006,0.09338807998331711,0.07291729362028943,0.06776694025156704,0.0585976905359743,0.057510870845999595,0.06472336298347126,0.10351248912809441,0.05973632661832451,0.0628370449694231,0.09909095610038943,0.03670915893412097,0.058608207462238604,0.04901054532461446,0.06200199572583642,0.0871069318676958,0.06968753761721735,0.06402034487464892,0.05066141134713298,0.1035377350493284,0.060146539724629355,0.06420262943289767,0.04080403146367639,0.07899557367210175,0.05891568847772988,0.059997209968075116,0.058198656630887524,0.05168470562355154,0.06911954412594967,0.07364118663565167,0.06204242098900847,0.03689854307987317,0.07272663790662637,0.05404690792831068,0.08681870980785766,0.07450884629795718,0.06864493140314976,0.05511989931725281,0.05378417020868986,0.08575909637297963,0.04689696103746377,0.07870401374649683,0.05089892963651821,0.06757164861322806,0.06173915204222291,0.07361694737234725,0.04949334376584158,0.06410307626186174
101_kit_copy.jpg,0.043707497842573106,0.0,0.03902150518036773,0.06618428854927672,0.03634535805656958,0.07915642701284964,0.04445597450421568,0.04551182621735661,0.07952465188709168,0.07404051194171812,0.06315467203720448,0.0803403891930291,0.10057355130267898,0.10332291954535511,0.11917402021453893,0.075763195060213,0.05441751699238584,0.05342903188753234,0.05053245316815391,0.039457494027869466,0.07172543712266233,0.07268112637181001,0.052407221107010016,0.07909963031282263,0.08026404213636984,0.07194968342197572,0.07136497411087728,0.05272336467889516,0.09034858232893594,0.045308189914601504,0.052692290738068914,0.04819817237544155,0.041040357658144955,0.05428198904586623,0.06638962027591322,0.07281283961459617,0.06647174237016862,0.04142882165497097,0.07503328858827141,0.06544362673208748,0.035534554934373186,0.0858747825618873,0.043433872322713785,0.06695618325328112,0.0855911434447284,0.08640200640700679,0.04898119329866757,0.05520175650152681,0.053268443456765846,0.06735630328929187,0.04806905525047345,0.09317315851535113,0.0672909235058653,0.0473465132760168,0.07190554941906302,0.07519445982099715,0.0912678199646334,0.059462091805507766,0.055482667045876455,0.05501343199570041,0.055613373630733376,0.04592166844968737,0.06874461702917656,0.03249346096201744,0.05349721971676247,0.07086024112318445,0.04954868346097052,0.08232212778240255,0.07303727135089677,0.04406981522422837,0.07110525636504506,0.07121816099914713,0.1081277508252475,0.05031324015848826,0.06194331816494114,0.08791493380217452,0.07434624455133154,0.0664435029661441,0.04223875743231431,0.0738759233702313,0.05971041842213687,0.032608882240943604,0.057863254103349804,0.060715407418835854,0.04592903294717232,0.05462337853898547,0.04024244879396033,0.046412493663353205,0.07094996613390792,0.07243234940821242,0.08277509735971633,0.11792028074524041,0.056788805709509504,0.04857312596321273,0.08170660944045927,0.029337111514810332,0.06942872056532212,0.0655551538342859,0.042834169106664266,0.08221460082092424,0.05193893973276731,0.10993260901999413,0.08481471878004088,0.04882335993170839,0.08684867112676187
101_kit_copy.jpg,0.06508337564828781,0.03902150518036773,0.0,0.07324771584017575,0.04710133908816716,0.10746907864732302,0.07982309947221455,0.06468081844044737,0.10362020152655971,0.05996740759515995,0.06250150998689441,0.07731866699840462,0.10168320623305638,0.08523497197464325,0.11105553594044315,0.08178266509613885,0.04567890494266935,0.06421894788775617,0.04920170436724236,0.04253945675227988,0.08240766721541903,0.08727014290727897,0.052866442559886706,0.07866740318705778,0.08701622669004094,0.07244503859632456,0.08607312066501305,0.05991220035502176,0.09107965440479615,0.05413975887681555,0.06674041407337461,0.03943807612622774,0.03518166148997248,0.06203341404963858,0.05883232130656135,0.06921353418737486,0.08846968179436887,0.04256141778974365,0.08137674353153412,0.06372632128621647,0.04313282228268056,0.10226831290912697,0.06918158604360969,0.06764977056676325,0.11158975340907362,0.09173885640268364,0.06539371769157865,0.07775168885411388,0.06582332220852694,0.08664744550483783,0.06499161083070693,0.10665659973415753,0.06341762168481058,0.048151548218703044,0.07934684430752958,0.0776865739806687,0.09582329147896917,0.05975235367220322,0.05836056961156144,0.060071570199873636,0.05449222160716016,0.045894303248601664,0.07026967730149558,0.03475287819396666,0.06633613495065471,0.07360240381436478,0.04876828514656106,0.07888568901178838,0.09240868129082791,0.055710648575928556,0.09234412272834391,0.08351030203128729,0.09747288593357661,0.06732393128955638,0.06036514344133748,0.10382015558057256,0.07028771767123365,0.07653392416029892,0.05059883960950995,0.08332338154836283,0.05788993053848357,0.044911328271362794,0.059997209968075116,0.062272309870927356,0.06072648065606123,0.06983615211682148,0.05316677100587808,0.05521426025265208,0.10331886642263866,0.08081677681270494,0.09092020508694987,0.10477555342874045,0.04832434899961513,0.05468873183141376,0.08789045611988688,0.05020846826081726,0.0914547139565598,0.08857002969534922,0.046709166351600384,0.09782354727604725,0.04748389559240651,0.10978203418652721,0.09555695098360018,0.05060294571422286,0.08954341493125917
102_kit_copy.jpg,0.07076598615177776,0.06618428854927672,0.07324771584017575,0.0,0.05606308481527511,0.07978352192098315,0.06524200374519151,0.0671974897554013,0.07116403988993314,0.09507147695156004,0.05442498745386337,0.09397983589992254,0.079821907377298,0.11254123058951582,0.10666449405160539,0.09128880083516577,0.08931821495601222,0.08873228705899894,0.09748703212658716,0.08005139889424462,0.06644066842934238,0.05539715410385815,0.06941147492552857,0.06838730644617108,0.0724960337677576,0.06854431859218779,0.055685641073678016,0.06481049187637644,0.08558796452495077,0.06363336437371903,0.07670320163845756,0.08892254540768996,0.0789691356559511,0.06747490348799567,0.08621474154110642,0.06584533622798705,0.08296848164618875,0.0827956543742785,0.0849587768279636,0.08515616125515624,0.08111315201441494,0.08650412920486328,0.06219951260801959,0.06581730875194769,0.07861145419897153,0.07728216240295827,0.09337311256936409,0.11305889118430446,0.06360268779786482,0.0814509448173435,0.10076214071848677,0.07381790808428967,0.11530493046218948,0.08481151336926496,0.09196636109476919,0.06805545371238497,0.11124841689795073,0.06163726766334998,0.1116867899352858,0.07823324221842831,0.0572253508679722,0.06584292554715576,0.07378360224168945,0.060196130873160225,0.1083034126339597,0.07972566558103023,0.0401479554035703,0.06827917019173557,0.07865868764866735,0.06207047495604623,0.060164103256400536,0.06056689888322431,0.0998821362510448,0.07511011248289745,0.05723711287114941,0.07811922496240398,0.07251653780032319,0.09759776449884106,0.0692654830347409,0.06100892767830346,0.07313298332720153,0.09324320071445169,0.07557195654459037,0.06987692176296945,0.047939434796540725,0.09469564916084994,0.07532233186905235,0.07310596250909174,0.08388920277778256,0.10924765777190792,0.08691964051079726,0.11232034864696705,0.07229353657792248,0.06495089416655508,0.0772107956539505,0.057709897715077174,0.08738511383923642,0.0813359209033897,0.08734900660876233,0.0678095907585834,0.054165243217032866,0.07402252455397651,0.07820828769817378,0.08190213949778147,0.08985375697455011
102_kit_copy.jpg,0.06489571341741507,0.03634535805656958,0.04710133908816716,0.05606308481527511,0.0,0.07570862360403041,0.04698697744916702,0.04708814657108995,0.08609441942752305,0.06507222293806791,0.06621554792709006,0.08816180341390556,0.09568797546043484,0.10036223261046118,0.12179829796396546,0.09388889230328423,0.05556346459022443,0.07162731446552617,0.061586325473913406,0.050739374354679234,0.07058952961312115,0.06918476496338732,0.05803719399718221,0.0928532797127275,0.0833471174827024,0.07580764695510345,0.07751668720955274,0.06253610723047431,0.09561289997168632,0.0445038437378672,0.06317840797154395,0.06646530505761894,0.04919796913650376,0.05727197502471082,0.07306948440464345,0.07899753400596454,0.07310824073493227,0.03596942430186678,0.0607925756964377,0.07032152018486904,0.04300452637780561,0.09532851910657936,0.04698401045737455,0.05539635937391396,0.0925642894139429,0.08929079677293028,0.06069975123893101,0.06069188341248133,0.05723176168952382,0.0814076850173695,0.044147486830794946,0.0897038709070348,0.06032765867895973,0.04981356695144146,0.05983227701361249,0.07219893722353987,0.08524930360464067,0.06985003339985041,0.06644628452094958,0.07076153566408905,0.06007970293630471,0.045179099280631685,0.07182785132149816,0.04068384180508389,0.06625088691861791,0.09770523847832313,0.03983703055832,0.08976424389181159,0.08274608971674557,0.044935143678696776,0.06686470983667991,0.06781918049991265,0.09804774059336452,0.060350096554390165,0.06273916073127028,0.09964978370629829,0.057640040952963933,0.07392760730761605,0.04634170971630469,0.08175601515200326,0.07067369151423386,0.04955379622361289,0.06783499562580642,0.07827538939648004,0.046191691193798845,0.03990042351688561,0.05592440443997593,0.0489443443202453,0.09660326593740831,0.09127788654392932,0.0883861821682097,0.11091974308394215,0.06625313865346061,0.06115685341195587,0.08656232992779178,0.049026916761469086,0.08653040827502478,0.08495096198351026,0.05241776452427249,0.08574849997372103,0.04758789925113138,0.10299289469044104,0.08102565833309328,0.056119166258352005,0.09631371932766275
102_kit_copy.jpg,0.05651748490648878,0.07915642701284964,0.10746907864732302,0.07978352192098315,0.07570862360403041,0.0,0.07464373846052119,0.11610381949330562,0.05645369458295124,0.12822856390815562,0.07302770810056569,0.0901168920591432,0.10444449542489864,0.14147424841859335,0.11451690274031368,0.06943788645068094,0.119666328924101,0.07610508788229686,0.1253015470319061,0.08341392778002898,0.07506250815922744,0.06327605379071355,0.09060975707966623,0.09263639791089873,0.07776051035649678,0.0902517842217071,0.07298264691271794,0.0581358199832831,0.059615554157772754,0.05662326346208946,0.06951333281340322,0.11403079292431806,0.1081101078204818,0.05939631465710915,0.09315170080685231,0.1116683257095773,0.06605236337850495,0.08079648470812428,0.11002262543169727,0.10218616432387351,0.09437485042106153,0.05473111742844883,0.06201918838363374,0.06887185329327616,0.055689349813418554,0.0672821814764768,0.07356065400128509,0.08306872358317674,0.08518397680321033,0.0733659186739073,0.1101906843239413,0.05945631676791174,0.12855546282528818,0.11355467021462384,0.06327759026860602,0.07785450041792208,0.09024084343947247,0.09720500896031525,0.13812202453108824,0.11022242053972131,0.1063902857297867,0.09618012522400787,0.08164838222653237,0.1006841777109404,0.10918386744837005,0.10107412520366277,0.09098539943338935,0.10564580920886446,0.07055668077541921,0.06922937580426658,0.047912440469428996,0.08204593263572302,0.10073586164832504,0.08855654577729255,0.08627291577303697,0.08914742749095916,0.11935333778099533,0.08374040284119133,0.10905734644122056,0.07422544559978161,0.09993220423754245,0.09632611711479533,0.09746578634607339,0.09665357234288918,0.08239971991597483,0.10064942152137168,0.08559665357234292,0.06657765338075994,0.06258495663105701,0.13743193402936138,0.06751037493451428,0.12889415023659634,0.11380514260210262,0.08785932919706407,0.043307907626525366,0.09739330697514337,0.0733720645854774,0.0802348225654137,0.1014675959991388,0.07434786050221842,0.08833033914411603,0.08895184445164062,0.06180786969141594,0.07175984892925502,0.08527531776482089
103_kit_copy.jpg,0.07305557663061635,0.04445597450421568,0.07982309947221455,0.06524200374519151,0.04698697744916702,0.07464373846052119,0.0,0.0516973948116638,0.09040665059687403,0.09977937766923295,0.07019401901078792,0.11659538645491951,0.10061506269677511,0.1242706233480213,0.11525880963441582,0.09719428010606568,0.09508745102344263,0.08710118332109795,0.08595261311444269,0.059374009236669356,0.08430251533087052,0.07824691157347197,0.07340350940027773,0.08479593666235463,0.07526982671072502,0.060929560647855374,0.07935836789172346,0.06577200914511638,0.08827428419203731,0.05455328335788867,0.0831123542571246,0.09172296180379524,0.0858070980616219,0.07393348830920476,0.07603711198105201,0.07691009633398493,0.0775927693562306,0.05807695698540072,0.06926384059285595,0.091178836701858,0.07315956090560993,0.08415954341387155,0.04341519616902023,0.0739484292321595,0.07624882803824196,0.08688959971889876,0.07611690286747053,0.0963069906141335,0.06545671328517211,0.09432978198544317,0.06730493724388498,0.08821306349531977,0.10191595614277493,0.07338764129238773,0.08892108840279211,0.0705437531683234,0.11086970158844256,0.08091866119157776,0.10504509933488526,0.09402298973590384,0.05878090227915833,0.06526065340788678,0.07045082274682413,0.06622018385176576,0.08105429510208984,0.1032314461287539,0.06252511346624323,0.08351583864990009,0.07835454449894286,0.05792296481317283,0.058947822058482036,0.08507671475171352,0.11184396102729122,0.06706617387758707,0.06658083230053768,0.09591137404780758,0.058408465336211135,0.08166451524440388,0.0643521181354405,0.08358029124839139,0.06968623955830833,0.06511630395898427,0.0696885707661451,0.08537097675912941,0.0605061815154716,0.07870096728171005,0.06421902736075058,0.058681561036107444,0.08747115660121774,0.10620201420595665,0.09483485935611191,0.1443051029715695,0.08569098801674402,0.06929313963680628,0.08147815107244039,0.05172351493583671,0.07141782365218041,0.08294087802611971,0.0806819906141335,0.08288172362725776,0.057475584836467974,0.11314448359931706,0.06944572778613245,0.06931218666447392,0.101487649684736
103_kit_copy.jpg,0.06262479909227003,0.04551182621735661,0.06468081844044737,0.0671974897554013,0.04708814657108995,0.11610381949330562,0.0516973948116638,0.0,0.08511263654520096,0.09957454927156117,0.07699142369829592,0.10688325671430243,0.11375178973183475,0.11060465915198292,0.13205656612237915,0.10769345740162739,0.07665962394650594,0.08205981391875194,0.06190691953348726,0.05172550176069779,0.06396556149048116,0.0749415502616887,0.0796622991134629,0.0942011681894398,0.08203210433469021,0.09916046847952698,0.06702418564552415,0.08864131697136257,0.11422240231391456,0.07600134913355361,0.06761655085508711,0.06661410499421017,0.06978767359021265,0.0643161963419534,0.10077072380188623,0.07154031802761163,0.08808031710360564,0.06415444230726852,0.08705071796962816,0.09510837891197876,0.06278478526863662,0.10900123850714549,0.0679611722499801,0.08398904734979828,0.09061309494543279,0.11193654706581457,0.0715116282766185,0.08346222086965072,0.07885424419698783,0.08463214282081233,0.05100711887294995,0.10378145223227986,0.09669073921328941,0.06874408720921354,0.1118858962773579,0.08949088328193389,0.12414291024595525,0.07921174021698041,0.08608835298894746,0.08142098349843929,0.05730328738452051,0.04756580575867686,0.08801504328417165,0.05699019027742225,0.10605430040028951,0.09224520534126346,0.05401058876985132,0.10244646487166487,0.057280902491086305,0.05571099295890458,0.0774601819105053,0.07926008628859849,0.12592074762259187,0.07366121383025082,0.08259114386858435,0.08455115983947725,0.08196216809958246,0.08767182591218048,0.025946369715999618,0.06214449080486861,0.08074453586075825,0.05190058076745052,0.06039073374554749,0.06102566998913228,0.044486757044062464,0.045858725838090475,0.06827267989718955,0.07146924267958366,0.0752841053587262,0.049823739494729846,0.11376715451075992,0.12491416916600406,0.07503283824130302,0.08642659005328712,0.1148898430122256,0.046197042375424435,0.11527491616128915,0.07818735980963776,0.0838086436524178,0.07560199733648909,0.05460385467335116,0.0925525274107657,0.11072980262722887,0.06972353888369898,0.10297058927000136
103_kit_copy.jpg,0.04164133244210555,0.07952465188709168,0.10362020152655971,0.07116403988993314,0.08609441942752305,0.05645369458295124,0.09040665059687403,0.08511263654520096,0.0,0.13598549903954238,0.06904234935734965,0.0985915742943223,0.10256795258916662,0.13139317854678445,0.09911977830637331,0.05989132544848197,0.12859435161056798,0.07752550871193564,0.11826635914503159,0.07222839521347935,0.04176125719071666,0.054872976723525535,0.09452729886762634,0.09104132193047754,0.06097398605174775,0.11158236242059072,0.06059444952129711,0.07092032270698156,0.06400641060962364,0.070926892474522,0.061692130520512034,0.10384065961313815,0.10570257941789318,0.0438753977888281,0.11147568317105316,0.08624827914476041,0.06624789343582738,0.08699688826139362,0.11520487396218859,0.08621301962622696,0.08904713978446133,0.05572296689006706,0.07358640325148402,0.07405410182376748,0.04861972362895306,0.06392659323220695,0.08101339300095112,0.09783260719741349,0.0897587072731989,0.05279682421675669,0.10124202514991776,0.059551260505270265,0.12538409298213204,0.10810714082868922,0.07523700436402114,0.07060134459829481,0.08980806000274655,0.10872268566163057,0.14615981722482851,0.11367610495012903,0.10616866203928976,0.09635083321606652,0.09274943499999155,0.09592350692495888,0.13555531172063484,0.08534472417996597,0.0868490684917339,0.12211457399084136,0.050385242691451504,0.07154002662663206,0.060602158401757755,0.07082376301873605,0.08160175806979375,0.07194218646950024,0.0736826980297478,0.04994867104199041,0.11250038147037333,0.08425374540328201,0.09727290538856581,0.06466728154039436,0.11734855202323413,0.09720323406343934,0.10057360428467521,0.09022791583237688,0.08096316606846454,0.10148492111192675,0.09874901029630923,0.0969284694306598,0.055804638637353854,0.12154599769761432,0.08983322645098613,0.13294605436715756,0.11235478694455803,0.08875183741563142,0.05765975025558512,0.07670198305254305,0.09862384033006522,0.06383278860776875,0.10971027007254719,0.05880688994834038,0.08622668898127073,0.056021599912177145,0.07806897153891923,0.07669077736032681,0.0906116644315329
104_kit_copy.jpg,0.10307965270937214,0.07404051194171812,0.05996740759515995,0.09507147695156004,0.06507222293806791,0.12822856390815562,0.09977937766923295,0.09957454927156117,0.13598549903954238,0.0,0.0579771124133851,0.06052644712905386,0.0729740373383202,0.09544285425458154,0.1080433240141534,0.11154744728503296,0.06529874746322206,0.09059698841855945,0.1034720108829259,0.06787123531127148,0.12302345364626344,0.10284255827595723,0.04915354373261127,0.08219271925645477,0.10763350827282081,0.07454182759065009,0.11300649198996982,0.06698225039545769,0.10431249078113258,0.061077300944520685,0.09621456352159896,0.08680986181447659,0.0617226481503772,0.0939912005381276,0.08056421163637228,0.098232144431465,0.0895222486237397,0.06469083203774695,0.06542240744257177,0.0762454901724754,0.06258640742769972,0.126765810463478,0.06351049912431361,0.09643947209586612,0.13728811440042166,0.11731321303170605,0.11977380290358297,0.11192205648982834,0.0796044162825118,0.10202417187020507,0.085444462787989,0.11319563771673868,0.048268982813488126,0.05629805996883819,0.09209351788587428,0.08699720615337148,0.09468876150133188,0.06792548887547623,0.08023789552119875,0.06267081395605123,0.08362275631842087,0.08480091697000636,0.07448246126380298,0.05343382675819697,0.07994358053178674,0.11761603163152334,0.07160702236094563,0.10194393063681817,0.13077109043730062,0.06597922173262138,0.11894251538173328,0.07484451373547663,0.11669459524297976,0.08245505961110366,0.0684478383769368,0.12378769245180321,0.0896887975290892,0.09887028608582571,0.08384700261773448,0.1013784272993763,0.08128291241609775,0.10268030091230751,0.10532555953226641,0.11620747876905457,0.08454289464805553,0.10265081643137008,0.060784628396993834,0.09661486899459659,0.14767727458067914,0.13553647662095236,0.09420164502740647,0.13101520498522434,0.05539808128879342,0.05565345451092951,0.10211511546684349,0.07593093606047918,0.06272294824040436,0.10039473706518742,0.04803308047498989,0.11954131790384581,0.05902035441140807,0.13547986535791245,0.09270596327203251,0.07490843651400503,0.09707035521673446
