sub_num,trial,block,task,is_practice,category,image,texture,duration,mask_dur,jitter,stim_time,time_of_resp,trial_response,mask_time,fix_time,jit_onset,trial_end,trial_accuracy,RT
234,1,13,categorization,0,livingroom,SHINEd_livingroom_010.tif,68,0.1,0.0666666666666667,1.55,8107.728853667,8109.945161,13,8107.824119417,8107.88489675,8109.953741167,8111.497112792,1,2.21630733299935
234,2,13,categorization,0,livingroom,SHINEd_livingroom_006.tif,65,0.1,0.0666666666666667,1.6,8111.511801417,8112.369518583,13,8111.611724125,8111.677318125,8112.382415083,8113.97578275,1,0.857717165999929
234,3,13,categorization,0,bedroom,SHINEd_bedroom_020.tif,19,0.1,0.0666666666666667,1.13333333333333,8113.993323417,8115.041033292,13,8114.093223167,8114.159211708,8115.065670708,8116.192381375,0,1.04770987499978
234,4,13,categorization,0,livingroom,SHINEd_livingroom_029.tif,81,0.1,0.0666666666666667,0.85,8116.201636042,8117.128686,13,8116.30332,8116.367846542,8117.157876583,8118.001263208,1,0.92704995799977
234,5,13,categorization,0,livingroom,SHINEd_livingroom_024.tif,78,0.1,0.0666666666666667,0.95,8118.017961458,8118.696427792,13,8118.114069458,8118.174171417,8118.709220375,8119.65255825,1,0.678466333999495
234,6,13,categorization,0,bedroom,SHINEd_bedroom_126.tif,60,0.1,0.0666666666666667,1.28333333333333,8119.657388958,8120.368486375,9,8119.7524195,8119.813663792,8120.382110792,8121.658829917,1,0.711097417000019
234,7,13,categorization,0,bedroom,SHINEd_bedroom_036.tif,25,0.1,0.0666666666666667,1.66666666666667,8121.673608583,8122.470007375,13,8121.77431375,8121.836216833,8122.492927542,8124.15297825,0,0.796398792000218
234,8,13,categorization,0,livingroom,SHINEd_livingroom_047.tif,90,0.1,0.0666666666666667,1.1,8124.169821542,8124.802624042,13,8124.269838292,8124.335763417,8124.825524208,8125.918892417,1,0.632802500000253
234,9,13,categorization,0,livingroom,SHINEd_livingroom_014.tif,71,0.1,0.0666666666666667,1.63333333333333,8125.92717675,8126.576628542,13,8126.025535625,8126.094284375,8126.600666542,8128.2273795,1,0.649451792000036
234,10,13,categorization,0,bedroom,SHINEd_bedroom_010.tif,13,0.1,0.0666666666666667,0.966666666666667,8128.244175667,8128.891494208,9,8128.345462375,8128.410685917,8128.916967083,8129.877000667,1,0.647318541000459
234,11,13,categorization,0,bedroom,SHINEd_bedroom_116.tif,55,0.1,0.0666666666666667,1.25,8129.886052625,8131.040674208,13,8129.985699292,8130.051858333,8131.053739,8132.297122292,0,1.15462158300033
234,12,13,categorization,0,livingroom,SHINEd_livingroom_048.tif,91,0.1,0.0666666666666667,0.983333333333333,8132.318178792,8133.169939667,13,8132.419789875,8132.484172625,8133.190605208,8134.167277583,1,0.851760874999854
234,13,13,categorization,0,bedroom,SHINEd_bedroom_009.tif,12,0.1,0.0666666666666667,1.95,8134.172700292,8134.865006208,9,8134.268045583,8134.328707583,8134.880612625,8136.823981417,1,0.692305915999896
234,14,13,categorization,0,bedroom,SHINEd_bedroom_120.tif,58,0.1,0.0666666666666667,1.45,8136.840361083,8139.832696833,9,8136.940387,8137.006032542,8139.84145025,8141.2848295,1,2.99233575000017
234,15,13,categorization,0,bedroom,SHINEd_bedroom_041.tif,27,0.1,0.0666666666666667,1.36666666666667,8141.302532625,8142.168656708,9,8141.402433,8141.468151958,8142.191109417,8143.551159792,1,0.866124082999704
