10.4910 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
11.6299 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

12.6765 	EXP 	window1: mouseVisible = True
12.6798 	EXP 	window1: mouseVisible = True
12.6799 	EXP 	window1: mouseVisible = True
12.6801 	EXP 	window1: mouseVisible = True
12.6804 	EXP 	window1: mouseVisible = True
12.6861 	EXP 	window1: mouseVisible = True
12.6862 	EXP 	window1: mouseVisible = True
12.6865 	EXP 	window1: mouseVisible = True
12.6867 	EXP 	window1: mouseVisible = True
12.6901 	EXP 	window1: mouseVisible = True
12.6902 	EXP 	window1: mouseVisible = True
12.6905 	EXP 	window1: mouseVisible = True
12.6907 	EXP 	window1: mouseVisible = True
12.6968 	EXP 	window1: mouseVisible = True
12.6969 	EXP 	window1: mouseVisible = True
12.6972 	EXP 	window1: mouseVisible = True
12.6975 	EXP 	window1: mouseVisible = True
12.7009 	EXP 	window1: mouseVisible = True
12.7021 	EXP 	window1: mouseVisible = True
12.7319 	EXP 	Created rating_1 = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-5, fillColor=None, flip=False, font='Verdana', granularity=1.0, labelColor=None, labelHeight=0.017499999999999998, labelWrapWidth=None, labels=tuple(...), lineColor=None, markerColor=None, name='rating_1', opacity=None, ori=0.0, pos=array([0., 0.]), readOnly=False, self=UNKNOWN, size=array([1., 1.]), startValue=None, style='rating', styleTweaks=['triangleMarker'], ticks=array([1, 2, 3, 4, 5, 6, 7]), units='height', win=Window(...))
12.7321 	EXP 	window1: mouseVisible = True
12.7733 	EXP 	Created question = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-6.0, draggable=False, flipHoriz=False, flipVert=False, font='Verdana', fontFiles=[], height=1.0, italic=False, languageStyle='LTR', name='question', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Content', units='height', win=Window(...), wrapWidth=1)
12.7753 	EXP 	window1: mouseVisible = True
12.7755 	EXP 	window1: mouseVisible = True
12.7767 	EXP 	window1: mouseVisible = True
12.7768 	EXP 	window1: mouseVisible = True
12.7771 	EXP 	window1: mouseVisible = True
12.7774 	EXP 	window1: mouseVisible = True
12.7821 	EXP 	window1: mouseVisible = True
12.7822 	EXP 	window1: mouseVisible = True
12.7825 	EXP 	window1: mouseVisible = True
12.7828 	EXP 	window1: mouseVisible = True
12.7862 	EXP 	window1: mouseVisible = True
12.7863 	EXP 	window1: mouseVisible = True
12.7865 	EXP 	window1: mouseVisible = True
12.7868 	EXP 	window1: mouseVisible = True
12.7903 	EXP 	window1: mouseVisible = True
12.7903 	EXP 	window1: mouseVisible = True
12.7906 	EXP 	window1: mouseVisible = True
12.7909 	EXP 	window1: mouseVisible = True
12.7942 	EXP 	window1: mouseVisible = True
12.7943 	EXP 	window1: mouseVisible = True
12.7946 	EXP 	window1: mouseVisible = True
12.7949 	EXP 	window1: mouseVisible = True
12.7983 	EXP 	window1: mouseVisible = True
12.7984 	EXP 	window1: mouseVisible = True
12.7986 	EXP 	window1: mouseVisible = True
12.7989 	EXP 	window1: mouseVisible = True
12.8022 	EXP 	window1: mouseVisible = True
12.8023 	EXP 	window1: mouseVisible = True
12.8025 	EXP 	window1: mouseVisible = True
12.8028 	EXP 	window1: mouseVisible = True
12.8063 	EXP 	window1: mouseVisible = True
12.8063 	EXP 	window1: mouseVisible = True
12.8066 	EXP 	window1: mouseVisible = True
12.8069 	EXP 	window1: mouseVisible = True
12.8102 	EXP 	window1: mouseVisible = True
12.8102 	EXP 	window1: mouseVisible = True
12.8105 	EXP 	window1: mouseVisible = True
12.8108 	EXP 	window1: mouseVisible = True
12.8142 	EXP 	window1: mouseVisible = True
12.8143 	EXP 	window1: mouseVisible = True
12.8146 	EXP 	window1: mouseVisible = True
12.8148 	EXP 	window1: mouseVisible = True
12.8182 	EXP 	window1: mouseVisible = True
12.8182 	EXP 	window1: mouseVisible = True
12.8185 	EXP 	window1: mouseVisible = True
12.8188 	EXP 	window1: mouseVisible = True
12.8222 	EXP 	window1: mouseVisible = True
12.8222 	EXP 	window1: mouseVisible = True
12.8225 	EXP 	window1: mouseVisible = True
12.8228 	EXP 	window1: mouseVisible = True
12.8260 	EXP 	window1: mouseVisible = True
12.8261 	EXP 	window1: mouseVisible = True
12.8264 	EXP 	window1: mouseVisible = True
12.8267 	EXP 	window1: mouseVisible = True
12.8302 	EXP 	window1: mouseVisible = True
12.8303 	EXP 	window1: mouseVisible = True
12.8306 	EXP 	window1: mouseVisible = True
12.8308 	EXP 	window1: mouseVisible = True
12.8342 	EXP 	window1: mouseVisible = True
12.8352 	EXP 	window1: mouseVisible = True
12.8648 	EXP 	Created rating_2 = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=-7, fillColor=None, flip=False, font='Verdana', granularity=1.0, labelColor=None, labelHeight=0.017499999999999998, labelWrapWidth=None, labels=tuple(...), lineColor=None, markerColor=None, name='rating_2', opacity=None, ori=0.0, pos=array([0., 0.]), readOnly=False, self=UNKNOWN, size=array([1., 1.]), startValue=None, style='rating', styleTweaks=['triangleMarker'], ticks=array([1, 2, 3, 4, 5, 6, 7]), units='height', win=Window(...))
12.8649 	EXP 	window1: mouseVisible = True
12.8831 	EXP 	Created question_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-8.0, draggable=False, flipHoriz=False, flipVert=False, font='Verdana', fontFiles=[], height=1.0, italic=False, languageStyle='LTR', name='question_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Drawing style/ability', units='height', win=Window(...), wrapWidth=1)
12.8832 	EXP 	window1: mouseVisible = True
12.8851 	EXP 	Created block_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-10.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.02, italic=False, languageStyle='LTR', name='block_text', opacity=1.0, ori=0.0, pos=array([0.8 , 0.49]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
12.8851 	EXP 	window1: mouseVisible = True
