sub1,sub2,IES,own_drw,ctr_drw,category
201,202,0.0279064016051761,0.77391367831528,0.778960132857643,livingroom
201,203,0.0394442131581487,0.728939631021983,0.829059172144535,livingroom
201,204,0.100262591885015,0.792741129731982,0.733408602905959,livingroom
201,205,0.153462381596403,0.888768689461031,0.757085663739228,livingroom
201,206,0.297504914137543,0.741549568498341,0.812785551186669,livingroom
201,207,0.0493557640179278,0.568538432686368,0.579038061051507,livingroom
201,208,-0.0544595379582932,0.822236838810028,0.854521257634865,livingroom
201,209,0.199533310954933,0.763611668929522,0.774139235150589,livingroom
201,210,0.261812878744659,0.697580368100373,0.601842489456042,livingroom
201,211,0.225650217190032,0.710733357359052,0.832621412240734,livingroom
201,212,0.304435180763821,0.770286335557477,0.804590149719742,livingroom
201,213,0.419482762568987,0.650256051152964,0.804217800922502,livingroom
201,214,-0.0292520381024561,0.717565324292842,0.728215961644893,livingroom
201,216,0.184489994817329,0.618963121452181,0.746103366198253,livingroom
201,218,0.267473659438245,0.60662624600404,0.785294740280424,livingroom
201,219,-0.0351164685155639,0.725467561074421,0.696597458902262,livingroom
201,220,0.253096422836195,0.813106422570299,0.864497227476672,livingroom
201,221,0.37457072495726,0.656351068463169,0.822210477106739,livingroom
201,222,-0.017432738112766,0.792375852209977,0.733516236469684,livingroom
201,224,0.292795637169342,0.608621948693016,0.872307055949385,livingroom
201,225,0.144625438000394,0.623002161389302,0.871455803507669,livingroom
201,226,-0.107446393175241,0.699777971018933,0.798045126699355,livingroom
201,227,0.351732552314707,0.738321760358617,0.850341929147562,livingroom
201,228,0.46510736503698,0.763059629856567,0.720672068875908,livingroom
201,229,-0.0668943202936256,0.794823935664057,0.718035075704978,livingroom
201,230,0.174573192532797,0.755554961418444,0.812646419709898,livingroom
201,231,0.0795430858993453,0.719046611239706,0.877589266671373,livingroom
201,232,0.005522265017449,0.670968029321106,0.802463642355399,livingroom
201,233,0.205034537822788,0.62831245693172,0.669079073078156,livingroom
201,234,0.281855858778416,0.63712760300459,0.608691956974385,livingroom
201,235,0.136593518673413,0.667039309978032,0.742896712334181,livingroom
201,236,0.164591601421832,0.709609511893261,0.55021692076159,livingroom
201,237,0.102106068202425,0.654898076822603,0.696910620800387,livingroom
201,238,0.178238348338551,0.612915496741595,0.674917097383353,livingroom
201,240,0.085247923089214,0.723248594161403,0.796229633622322,livingroom
201,241,-0.169232339587161,0.770277414398524,0.929383996135508,livingroom
201,242,0.126724450404769,0.677257424162573,0.815991684240309,livingroom
201,243,-0.153069133129826,0.691512301597478,0.784024780283792,livingroom
201,244,0.389633719695999,0.723482528553631,0.776104549567183,livingroom
202,203,-0.00801937958861841,0.919763457655653,0.788112810952084,livingroom
202,204,0.308754638424596,0.827962109820794,0.587700608596654,livingroom
202,205,0.0315590926451183,0.813388248194377,0.910023397855731,livingroom
202,206,-0.0756783588598194,0.811274930837623,0.765987816062405,livingroom
202,207,0.279572100518399,0.560951526843912,0.595315582456658,livingroom
202,208,-0.230200380956197,0.813464447329104,0.759959356907998,livingroom
202,209,-0.00417769537288986,0.791969292154035,0.594742011295637,livingroom
202,210,0.200532638501645,0.774146964399233,0.738371477362262,livingroom
202,211,-0.0540742518886188,0.793410170844303,0.694267420472234,livingroom
202,212,0.0532074166944762,0.920341060797091,0.794837277663216,livingroom
202,213,-0.0697889523616145,0.723456339221317,1.01680827323729,livingroom
202,214,-0.0173366706689087,0.748731853415047,0.777190380125756,livingroom
202,216,0.0484893478355097,0.644788601466716,0.765012529717503,livingroom
202,218,-0.00340937695546695,0.60476441669539,0.925134273371622,livingroom
202,219,-0.130532265725913,0.670366437641459,0.767265185174335,livingroom
202,220,-0.0805096337775084,0.872670709946522,0.934191810711933,livingroom
202,221,0.164098322511909,0.805594546880188,0.741639524428781,livingroom
202,222,-0.129653208932494,0.890525346322236,0.749165680895696,livingroom
202,224,-0.0795430858993453,0.659442202840672,0.826666752093336,livingroom
