sub1,sub2,IES,own_drw,ctr_drw,photo,category
101,102,0.215269566285506,0.721399119812921,0.784444557832912,0.643466365703068,kitchen
101,103,-0.0327127443331716,0.793013830235111,0.768495146318679,0.457349734847885,kitchen
101,104,0.0459867717041953,0.710124515249536,0.813886288730527,0.316619296159497,kitchen
101,105,0.128383811560959,0.943164155975682,0.866431739937962,0.756799298089891,kitchen
101,106,0.0693064338961455,0.581319521813665,0.64813560495118,0.58140739493975,kitchen
101,109,0.0221404717893815,0.50933335483892,0.699434727082634,0.679002356741552,kitchen
101,111,0.218086882363665,0.741127406122472,0.736587350381493,0.515906444207512,kitchen
101,112,0.405543141662751,0.861075259340461,0.773187584631049,0.292620901574492,kitchen
101,113,-0.166565513611091,0.71779253681557,0.802851175026201,0.780195317831649,kitchen
101,114,0.386296703726151,0.654999943186969,0.830399179976537,0.655676178929824,kitchen
101,116,0.267164460511931,0.654920692974323,0.688399081182707,0.591142539368264,kitchen
101,117,-0.0154153866242824,0.831788705123238,0.689460908753232,0.562957761274481,kitchen
101,118,-0.0634222344427179,0.738228930780694,0.559392289794515,0.550618466747613,kitchen
101,119,0.279157177616448,0.591966349182997,0.655540283770222,0.495707638422335,kitchen
101,120,0.131997806960498,0.662772886967419,0.753704250867467,0.495707638422335,kitchen
101,121,0.0665084549627584,0.870744364889811,0.613266893459057,0.459152034833452,kitchen
101,122,0.137474197241209,0.850738583290651,0.741747287265295,0.513708650715173,kitchen
101,123,0.10589222768637,0.614795799430507,0.652725128260577,0.492267852968466,kitchen
101,124,0.332985115510704,0.770049703358965,0.822279019490503,0.431760826580655,kitchen
101,125,0.140313388466774,0.708316825420815,0.878211578185826,0.599264206639022,kitchen
101,126,0.196837084166175,0.799034742825725,0.833366071040264,0.502363974278485,kitchen
101,127,0.0170484702500311,0.684782536524701,0.857028798485363,0.47033514453033,kitchen
101,129,-0.0490669504610874,0.648800616277608,0.770586023292702,0.43135092213672,kitchen
101,130,0.307700087504589,0.656530622127859,0.710450087674869,0.611407365115819,kitchen
101,131,0.0418491436333348,0.70924267805661,0.770659373215056,0.482328957929005,kitchen
101,132,0.101135732086397,0.601871110095419,0.785211613662183,0.454836059584292,kitchen
101,134,0.106280720991836,0.75290481728473,0.7949414804211,0.442892224086312,kitchen
101,135,-0.03117456089469,0.924693302479584,0.820240513374986,0.450328977157636,kitchen
101,136,0.248803406359952,0.754153989163659,0.69279190085377,0.390867548684614,kitchen
101,137,0.215772410445608,0.618086388921453,0.562278898107626,0.366469723564132,kitchen
101,138,0.109001075906896,0.748680284935951,0.862292357756056,0.402150814381005,kitchen
101,139,-0.117269319388034,0.718853735338801,0.817474813173089,0.346629560085662,kitchen
101,140,0.0831200681419003,0.929916702070559,0.813899539616871,0.452409312067728,kitchen
101,141,0.198035056132182,0.729523826784305,0.808496466239248,0.338440474938704,kitchen
102,103,-0.0524369636205972,0.575637408636847,0.80737780232343,0.901728630862478,kitchen
102,104,0.0236778933411445,0.581961099548034,0.740492312702662,0.532144805086962,kitchen
102,105,-0.0274258418794552,0.631395378403648,0.809225759138068,0.777698979707784,kitchen
102,106,0.292168690787731,0.576789810012767,0.645181943817836,1.01588015767113,kitchen
102,109,-0.150808861979642,0.553718124313073,0.618212146123003,0.935071818845245,kitchen
102,111,0.176751908582227,0.566513607414684,0.651457034806217,0.809451271932043,kitchen
102,112,0.494482781906712,0.638624088981331,0.722842244688372,0.622364642349882,kitchen
102,113,0.128676712748837,0.609861663174658,0.735696585890834,0.919969292927833,kitchen
102,114,0.356728241331664,0.62927191494788,0.706687567299336,0.826814841920442,kitchen
102,116,0.283622544037654,0.545607003504748,0.606865789293927,0.538035434742065,kitchen
102,117,-0.096189929736796,0.618590205922594,0.652044523668225,0.723499730864984,kitchen
102,118,-0.0962868603930852,0.592106877234731,0.659458940722318,0.70938076763348,kitchen
102,119,0.226761624384565,0.546093327346164,0.690590283201781,0.656272497542485,kitchen
102,120,0.213761675785897,0.699180647433265,0.715443934970079,0.656272497542485,kitchen
102,121,0.284558545963934,0.558649295156132,0.583591382580806,0.58611633549491,kitchen
102,122,-0.0427150356023089,0.683057835473733,0.71517595720896,0.796476003316352,kitchen
102,123,0.085247923089214,0.506345344459935,0.587235931159099,0.686615104078258,kitchen
102,124,0.111917527248374,0.521651949454602,0.691251989560085,0.622476572757682,kitchen
102,125,0.00936401918282231,0.609231909873933,0.82139647300144,0.849080339604992,kitchen
102,126,-0.0881507888452742,0.580140258450937,0.758244796974643,0.724017904782582,kitchen
102,127,-0.0138784419993319,0.476955050237083,0.773673150278482,0.650141631274672,kitchen
102,129,-0.0204109972601276,0.615326330503767,0.770460677728749,0.648916717984588,kitchen
102,130,0.295410330707785,0.59589626010045,0.667165919227294,0.857222837341081,kitchen
102,131,0.150023040205735,0.409865642732233,0.703139654359419,0.769921779901726,kitchen
102,132,0.173880309584661,0.570327625112318,0.793741053800449,0.632742363670961,kitchen
102,134,-0.100456609827564,0.553617469544072,0.787174041876333,0.71088968279165,kitchen
102,135,0.0481042974020557,0.634984466936948,0.82538944246053,0.753330819649048,kitchen
102,136,0.304224758374732,0.48518068005292,0.725180171680673,0.698883413162653,kitchen
102,137,-0.142566757743614,0.567860215485025,0.586742244245623,0.573889468499099,kitchen
102,138,0.293945620813959,0.64298840779492,0.733000216360398,0.591131503681397,kitchen
102,139,-0.119314479795285,0.649841837181363,0.786131739479253,0.576377799432058,kitchen
102,140,0.11386287896126,0.647703670990066,0.8108239524959,0.685850594410544,kitchen
102,141,0.0206031548787971,0.547675855346505,0.744012507006978,0.612751144438051,kitchen
103,104,-0.12301778490497,0.653622551878229,0.71816275685171,0.91573523145633,kitchen
103,105,0.3730294047303,0.794079168931133,0.847045926134913,0.653105614010035,kitchen
103,106,-0.150121257851268,0.629351490832246,0.618160200822878,1.14745277683791,kitchen
103,109,0.122530318217914,0.509533523772196,0.610702062600746,0.817774349702061,kitchen
103,111,-0.014454788160626,0.912935650175524,0.676294922478278,0.871094179348432,kitchen
103,112,-0.0135902723999044,0.673650878118804,0.731121877952827,0.730533690805531,kitchen
103,113,0.118437861818101,0.587648938949869,0.696464485010665,0.859379913959456,kitchen
103,114,0.0680520361007314,0.579498016368524,0.806646650862162,0.703839656249642,kitchen
103,116,0.0352126257358192,0.622419919132964,0.597942883483372,0.527220275648961,kitchen
103,117,-0.0436772129303618,0.830900368693927,0.624539809515025,0.785211927330502,kitchen
103,118,0.296981031132228,0.673340803274068,0.633368698396664,0.740881050848546,kitchen
103,119,0.209845619576088,0.510978525053037,0.725727917566014,0.669415220498015,kitchen
103,120,0.0498371382530908,0.544118447607735,0.684112648310312,0.669415220498015,kitchen
103,121,0.0986137415918275,0.747540156959094,0.505649747119422,0.729409621152579,kitchen
103,122,0.0597589092391524,0.690129701692513,0.687703169933244,0.774430423776723,kitchen
103,123,0.216677800971522,0.642947213625127,0.558030961146703,0.998996841234519,kitchen
103,124,-0.0808962948608666,0.608864548440612,0.711356934235681,0.748185119999072,kitchen
103,125,0.249109750800206,0.593372825081882,0.773571502119313,0.821497420125103,kitchen
103,126,0.315943403721783,0.723079828554245,0.853152539916793,0.669390772250974,kitchen
103,127,0.0750022667938468,0.516936235842072,0.809437452052895,0.829526277396524,kitchen
103,129,0.0726847525176179,0.59111324944552,0.787880370843434,0.679553369280528,kitchen
103,130,-0.103561932307261,0.615663319528974,0.690985256235915,1.04486914624451,kitchen
103,131,0.200432687990853,0.567455066160184,0.659154576693796,0.841775474333099,kitchen
103,132,0.063904375385918,0.488723938989699,0.790387334673959,0.717718743348515,kitchen
103,134,-0.062554454793909,0.6670993612501,0.843890745837296,0.797118088022954,kitchen
103,135,-0.144821566026053,0.841532753925128,0.756368888475641,0.770324790007697,kitchen
103,136,0.106474979623363,0.743133195730068,0.761762782588432,0.742914139187484,kitchen
103,137,0.112598303652881,0.455603722984082,0.55528681529759,0.595010506214567,kitchen
103,138,0.186676448776037,0.7091523720824,0.783302405464769,0.649863083231898,kitchen
103,139,0.0355972611437108,0.611103984686571,0.821620221120097,0.542032623941371,kitchen
103,140,-0.106183594673613,0.733781957695816,0.848614442971742,0.762299388450294,kitchen
103,141,-0.107446393175241,0.759017868877458,0.772418060684869,0.710806901757031,kitchen
104,105,0.211150261286013,0.782638335947552,0.777076265774817,0.537001326996342,kitchen
104,106,0.159563836462921,0.583962043905282,0.666832910151502,0.805317470667709,kitchen
104,109,0.159662342433943,0.530544847678835,0.630113008609843,0.666218609298622,kitchen
104,111,0.065254528605671,0.783122622296237,0.626555691424774,0.612391286183154,kitchen
104,112,0.0132060497698886,0.674035444100718,0.687665049435573,0.412823385056169,kitchen
104,113,0.102300158363185,0.618021125054655,0.686344485779243,0.730049693847625,kitchen
104,114,-0.0134942163706739,0.566436460416568,0.643546519309485,0.567231350901089,kitchen
104,116,-0.0695959410945984,0.594042103394445,0.611829110190349,0.423585076800848,kitchen
104,117,0.0957053034468335,0.756909457330046,0.573453202086789,0.648198071910994,kitchen
104,118,0.11386287896126,0.533569585418026,0.640505876383026,0.643345358112664,kitchen
104,119,-0.190656359773226,0.576264082269036,0.673005198087618,0.422109530236845,kitchen
104,120,0.0225248170829141,0.550363692670618,0.652729569116199,0.422109530236845,kitchen
104,121,-0.00340937695546695,0.677013361616758,0.511667111446705,0.621673195466535,kitchen
104,122,0.141488881350396,0.752532868667888,0.621307908838478,0.742487192578115,kitchen
104,123,0.126236535484648,0.639199391639923,0.594564778473908,0.977211267774063,kitchen
104,124,-0.0669907897298296,0.769882218118987,0.566099802182039,0.692005546447001,kitchen
104,125,0.1086123563074,0.669842543833082,0.740917495548097,0.660815607073158,kitchen
104,126,-0.00456185637451697,0.730445953216926,0.70232789491497,0.58252277252925,kitchen
104,127,-0.120678471122181,0.560826655082564,0.698974007194758,0.746988475937412,kitchen
104,129,0.0913456554558409,0.490536956630012,0.678452709451088,0.612538337172948,kitchen
104,130,0.0668943202936256,0.621974882412635,0.614254772590647,0.824062365616603,kitchen
104,131,0.0935734770185859,0.622396657838966,0.739353261267461,0.84004627801946,kitchen
104,132,0.0362703985108709,0.579728527830033,0.688387690911141,0.587339228201732,kitchen
104,134,-0.0978379974837993,0.72752276050348,0.704506450899805,0.63761550014452,kitchen
104,135,0.0262725497825684,0.746482137003148,0.733285624827707,0.582339594454289,kitchen
104,136,0.276773183503814,0.593945892314327,0.638441434173657,0.576116972471526,kitchen
104,137,0.114057461096367,0.593974105441187,0.617203331852926,0.469812267103159,kitchen
104,138,0.0394442131581487,0.757285607304871,0.717830827615039,0.555397794505791,kitchen
104,139,0.0819597376561888,0.606103752789201,0.646135745712485,0.424767095696488,kitchen
104,140,0.133757201452208,0.7468426799222,0.685063259221459,0.662380410902271,kitchen
