sub1,sub2,IES,own_drw,ctr_drw,category
201,202,0.295933739776013,0.714650781394797,0.813082878625555,bedroom
201,203,0.577393385113588,0.797705657769513,0.887074451139833,bedroom
201,204,0.310654510704316,0.597973223312695,0.815019004987144,bedroom
201,205,0.629272425284293,0.730812955196918,0.75262829528362,bedroom
201,206,0.120483587973473,0.822770425979121,0.764743904342972,bedroom
201,207,0.522298158298538,0.766671859180089,0.60205410159958,bedroom
201,208,0.159169843263488,0.808207427324129,0.825276491249881,bedroom
201,209,0.37909442436408,0.924075784834298,0.800610807007668,bedroom
201,210,0.539525959302436,0.758706446943698,0.756554241866254,bedroom
201,211,0.365129133133249,0.796547955882436,0.686179699895437,bedroom
201,212,0.58466865383159,0.815225059709682,0.847718918080344,bedroom
201,213,0.674302779400378,0.756295967980445,0.755009494874319,bedroom
201,214,0.20563540699563,0.886682545375182,0.781423030425885,bedroom
201,216,0.323270344972269,0.674774298429385,0.865350938682768,bedroom
201,218,0.141880798486908,0.70766304693974,0.729291440781486,bedroom
201,219,0.335235561413059,0.746876514141006,0.773974362991426,bedroom
201,220,0.54397420785134,0.808915938484999,0.72392352595867,bedroom
201,221,0.256373426971942,0.721949515119999,0.825170394638536,bedroom
201,222,0.72309625135048,0.697389384479517,0.767649849195286,bedroom
201,224,0.280090886145816,0.722215783167692,0.809156467297529,bedroom
201,225,0.593473178421298,0.70454384135912,0.728529721305002,bedroom
201,226,0.197835355257938,0.813009322155106,0.832836450779684,bedroom
201,227,0.575681822046568,0.719404518956117,0.786478840598579,bedroom
201,228,0.0604336090360644,0.872190076333632,0.742218847669928,bedroom
201,229,0.386518915834073,0.58820257100817,0.767980312152187,bedroom
201,230,0.420965019182005,0.891327698739815,0.823987712003931,bedroom
201,231,0.507684684635063,0.73290135457937,0.769128983232269,bedroom
201,232,0.397228458428626,0.730894490657828,0.729251921407853,bedroom
201,233,0.810242276603371,0.70233693519,0.731620580430056,bedroom
201,234,0.691797733013985,0.684974255183097,0.791940177610658,bedroom
201,235,0.511010673894917,0.6038421813474,0.750925390324259,bedroom
201,236,0.224034602152846,0.733406059015133,0.600322079263153,bedroom
201,237,-0.0825398751797243,0.604286059155732,0.809327441976266,bedroom
201,238,0.367648047581053,0.777023404401541,0.752122926749318,bedroom
201,240,0.434846641947867,0.715379348186573,0.807143441848351,bedroom
201,241,0.205435101021613,0.715704247719843,0.873747810867079,bedroom
201,242,0.518563602508714,0.726330053707193,0.749414930416404,bedroom
201,243,0.0455055740130699,0.619580623805038,0.69199113082213,bedroom
201,244,0.532197165678884,0.724741003795781,0.806521133381992,bedroom
202,203,0.150317701768972,1.11301152727189,0.962763373120885,bedroom
202,204,0.362068603785198,0.819726371375103,0.891340031184263,bedroom
202,205,0.289245883417165,0.790456078938218,0.84957287560998,bedroom
202,206,0.185583002509694,1.01792542553334,0.849118627081814,bedroom
202,207,0.232225675983507,1.00155482642188,0.695412665750086,bedroom
202,208,0.294050202228022,0.973404815527623,0.908066834099039,bedroom
202,209,0.189063685989324,0.900278410097065,0.825979739516014,bedroom
202,210,0.207539127959581,0.833425065283245,0.957828627183547,bedroom
202,211,0.121653024016542,0.998497227655511,0.91837548690941,bedroom
202,212,0.200332741431813,0.792961965221085,0.985936627575429,bedroom
202,213,0.27584115216122,0.860573413502502,0.969544205511184,bedroom
202,214,0.550106785017542,0.96842730309786,0.969685186790533,bedroom
202,216,0.216074168512426,0.90622790844027,0.875772671911796,bedroom
202,218,0.0743262431598193,0.606444710401217,0.814649033110031,bedroom
202,219,0.425765856151096,0.722373269876913,0.788068101378409,bedroom
202,220,0.16094320041027,0.760335966794642,0.85026260158925,bedroom
202,221,0.424392305712228,0.779542760079866,0.818182149500275,bedroom
202,222,0.303173037998786,0.867055349254172,0.992675407192013,bedroom
202,224,0.316261279371755,0.779383261280215,0.824107623915625,bedroom
202,225,0.207839850758941,0.83898950882454,0.83050358923364,bedroom
202,226,0.0111889422903984,0.8608125369757,0.909158590155215,bedroom
202,227,0.261812878744659,0.84468006872357,0.944763313197028,bedroom
202,228,0.235672987090078,0.950687338472761,0.852903575525311,bedroom
202,229,0.339961448497911,0.775577592964126,0.76643500280549,bedroom
202,230,0.13845297764832,0.834394745687895,0.915681890646512,bedroom
202,231,0.226155334165754,0.846958892060205,0.962705813060629,bedroom
202,232,0.334377863717893,0.797066684153071,0.865721791559454,bedroom
202,233,0.399919348957757,0.726429564384128,0.890858259658286,bedroom
202,234,0.313191061119261,0.631482253019045,0.88482522137981,bedroom
202,235,0.378983914469386,0.752838334829618,0.916987042832802,bedroom
202,236,-0.00926797243218055,0.822399203688355,0.651714533724055,bedroom
202,237,-0.238414477320903,0.684519144508519,0.878323025589624,bedroom
202,238,0.317003229994062,0.979979023580486,0.785527856834943,bedroom
202,240,0.334806653192802,0.76844604128132,0.966482093598678,bedroom
202,241,0.24676227603653,0.712885051401595,1.00987956713812,bedroom
202,242,0.197236346017931,0.840263511943935,0.89206548741994,bedroom
202,243,0.0744228137987825,0.799200976778982,0.788534007564006,bedroom
202,244,0.309071133458183,0.879110065360421,0.952150106456474,bedroom
203,204,0.404078625417311,0.712616101375496,0.830316773787388,bedroom
203,205,0.824661458812708,0.712645376389928,0.881451053097782,bedroom
203,206,-0.144331266673454,0.999432312093284,0.897342706637954,bedroom
203,207,0.141097007386503,0.965126658418838,0.709282563989753,bedroom
203,208,0.11795093019333,0.910916020050119,0.942330514258092,bedroom
203,209,0.402503291185601,0.887748240910471,0.885778101989366,bedroom
203,210,0.734854677098043,0.828843463486913,0.881885155697782,bedroom
203,211,0.60534260913192,0.954377319077444,0.823077281171885,bedroom
203,212,0.61901835064666,0.828060748576768,1.00020643908862,bedroom
203,213,0.902182575530895,0.907282138309812,0.917229571084596,bedroom
203,214,0.184191977548463,0.936940884606779,0.932438269456922,bedroom
203,216,0.600873823329519,0.88358955768015,0.967642512102938,bedroom
203,218,0.157791252053638,0.622054931684256,0.796580113891863,bedroom
203,219,0.421992221298115,0.707736885010929,0.890918311985908,bedroom
203,220,0.574367303576536,0.743833949531555,0.816894532281647,bedroom
203,221,0.404078625417311,0.781659755236248,0.935150388718091,bedroom
203,222,0.532071266573465,0.810767815682718,0.960146636037151,bedroom
203,224,0.234354252253245,0.754330581197822,0.945402333422634,bedroom
203,225,0.572005674783104,0.83816782346611,0.894419397404943,bedroom
203,226,0.0069628976368001,0.839899766092898,0.897807847297195,bedroom
203,227,0.539018829637458,0.860602590404853,0.974625961169162,bedroom
203,228,0.248497107671405,0.949294671853452,0.813878142810922,bedroom
203,229,0.550619532025852,0.638926032596011,0.824561681856004,bedroom
203,230,0.473541608574492,0.835976060489552,0.996129270799643,bedroom
203,231,0.759394698806605,0.849128655088913,0.905781557247013,bedroom
203,232,0.418913127766252,0.780120014304919,0.925372451984694,bedroom
203,233,0.764625700023558,0.73493228159353,0.889701713647846,bedroom
203,234,0.74823305940713,0.646395299739109,0.912256428009415,bedroom
203,235,0.537498957236432,0.698948872453474,0.89903849131732,bedroom
203,236,0.419027034158641,0.807689786789573,0.670724494151859,bedroom
203,237,-0.0317513620119831,0.639564964080589,0.87134107930723,bedroom
203,238,0.42244902561006,0.895960212961223,0.755746663963498,bedroom
203,240,0.472349905919286,0.777516573751063,0.888162164566064,bedroom
203,241,0.396892481936823,0.694025358907322,0.969616590259043,bedroom
203,242,0.680192702330853,0.790857931071023,0.89725820209643,bedroom
203,243,-0.0206992342577392,0.71295068102525,0.774733892512045,bedroom
203,244,0.721696709486143,0.921901017806885,0.946768004365749,bedroom
204,205,0.284038485045278,0.76681527358632,0.898403967549395,bedroom
204,206,0.0701749904846148,0.785272781425062,0.815767123550425,bedroom
204,207,0.157594359120807,0.771913451907462,0.808692205043062,bedroom
204,208,0.111820281923498,0.809488738046681,0.929862249677637,bedroom
