,101_kit_copy.png,101_kit_copy.png,101_kit_copy.png,102_kit_copy.png,102_kit_copy.png,102_kit_copy.png,103_kit_copy.png,103_kit_copy.png,103_kit_copy.png,104_kit_copy.png,104_kit_copy.png,104_kit_copy.png,105_kit_copy.png,105_kit_copy.png,105_kit_copy.png,106_kit_copy.png,106_kit_copy.png,106_kit_copy.png,107_kit_copy.png,107_kit_copy.png,107_kit_copy.png,108_kit_copy.png,108_kit_copy.png,108_kit_copy.png,109_kit_copy.png,109_kit_copy.png,109_kit_copy.png,110_kit_copy.png,110_kit_copy.png,110_kit_copy.png,111_kit_copy.png,111_kit_copy.png,111_kit_copy.png,112_kit_copy.png,112_kit_copy.png,112_kit_copy.png,113_kit_copy.png,113_kit_copy.png,113_kit_copy.png,114_kit_copy.png,114_kit_copy.png,114_kit_copy.png,115_kit_copy.png,115_kit_copy.png,115_kit_copy.png,116_kit_copy.png,116_kit_copy.png,116_kit_copy.png,117_kit_copy.png,117_kit_copy.png,117_kit_copy.png,119_kit_copy.png,119_kit_copy.png,119_kit_copy.png,120_kit_copy.png,120_kit_copy.png,120_kit_copy.png,121_kit_copy.png,121_kit_copy.png,121_kit_copy.png,122_kit_copy.png,122_kit_copy.png,122_kit_copy.png,123_kit_copy.png,123_kit_copy.png,123_kit_copy.png,124_kit_copy.png,124_kit_copy.png,124_kit_copy.png,126_kit_copy.png,126_kit_copy.png,126_kit_copy.png,127_kit_copy.png,127_kit_copy.png,127_kit_copy.png,128_kit_copy.png,128_kit_copy.png,128_kit_copy.png,129_kit_copy.png,129_kit_copy.png,129_kit_copy.png,130_kit_copy.png,130_kit_copy.png,130_kit_copy.png,132_kit_copy.png,132_kit_copy.png,132_kit_copy.png,133_kit_copy.png,133_kit_copy.png,133_kit_copy.png
101_kit_copy.png,0.0,0.017370491867899296,0.04877321247221622,0.05551334362173055,0.02092073596655275,0.04335662457211742,0.1262245993713368,0.07804854697934793,0.06781854471595705,0.08260566093556876,0.042242625118044,0.0681236415416151,0.07909231879733414,0.08523372689773046,0.0825792229194181,0.03733681015321555,0.08018658245778809,0.11963732128113014,0.09053505246489213,0.0936515594508861,0.06720008587321957,0.09328540087449966,0.052223188142883514,0.08318901920576183,0.09412972196743763,0.09552132059109253,0.09566686213491171,0.04760382034101751,0.07391171270872787,0.024272165124113454,0.024053296497423826,0.041906533824554115,0.04985984672520394,0.13765978310442284,0.06584758796282963,0.046853595273497306,0.07983184150160305,0.0865716017771434,0.11792457228694042,0.054815040910578317,0.03961675790872854,0.07792697978885188,0.0986935646371877,0.06594441256105632,0.09086160699904888,0.044133949930742045,0.03978232664714665,0.04619757219538745,0.051519560741103865,0.05157394676029936,0.08221560747885381,0.1381554031887533,0.08117006076399191,0.10806531154261534,0.06798994147396764,0.042011252740228766,0.06621287233627726,0.06657034186527144,0.07967035237689957,0.07324578199731113,0.08688689763708779,0.045742032991253234,0.07980913871619122,0.09567621345725752,0.07523681892703404,0.06574776988181208,0.07451607834045137,0.09642585572281848,0.08952444737658583,0.0556625674142921,0.07227615848313818,0.061193808354370716,0.07996702506514664,0.11385706495847059,0.09505852285346628,0.05449712244181726,0.06430962657441297,0.07624342387461991,0.0843104626303145,0.11736786396088328,0.09220687286694484,0.05313911440381258,0.08991677905914153,0.05335236693889511,0.06133426362654559,0.0852095141254241,0.07961125096003385,0.0696461321871138,0.053469563114697194,0.05009959025843336
101_kit_copy.png,0.017370491867899296,0.0,0.04269313103253014,0.05109989034846052,0.030127285007536253,0.04256504705648989,0.12589115717766164,0.07334403710943793,0.062213950202009816,0.0850630189056718,0.057653180488044686,0.07266668877781968,0.07242813733950704,0.08835714803424077,0.08371899811468875,0.045401014372108306,0.0796296622037459,0.12086361607634832,0.08626687582545955,0.09702269791106821,0.06590435817185825,0.08829068211989022,0.05649886173479157,0.0740449094474106,0.09141336150845247,0.0879493720997655,0.08243437014155086,0.04038481141800154,0.06601808402690301,0.02865804126831284,0.02823662246979186,0.042198279187146026,0.0509446795903179,0.1352557515135897,0.06809685914248842,0.054774933539383786,0.08602766211219304,0.08971168575148825,0.11444315180147269,0.05638789094355423,0.03930636288344136,0.07759359057717319,0.09067876612983894,0.07377769474910267,0.09952368655511912,0.047719638984915935,0.04644849492983494,0.05078562763744365,0.056095271378023615,0.061092321340469935,0.07241075924472251,0.12707739758368197,0.07852546441898667,0.09264116629056518,0.07716756234497468,0.04320660604961157,0.07413701864796718,0.06065503443405906,0.07131530348935189,0.06049595599018698,0.08118169031217848,0.045674004108012034,0.07124618847518671,0.09349987199549703,0.06778312625143468,0.06261836177972036,0.0702883799461872,0.08967020084839028,0.08472711304916902,0.060206012015469046,0.0731266784696426,0.05784277656178205,0.07095876114529265,0.10534100378418598,0.08768258125742812,0.05715014292423315,0.058117753122546856,0.06478786856395902,0.07052454719466694,0.10257359517177178,0.08002125213835343,0.04989203328795255,0.08216508914538767,0.059392738372359144,0.060829901512826745,0.07702663023483303,0.08065804275180855,0.06412911691304002,0.04560088895312664,0.05045507296256668
101_kit_copy.png,0.04877321247221622,0.04269313103253014,0.0,0.07234763119613852,0.05539516727899729,0.04517602632484674,0.11768559699265713,0.038943648136813946,0.0348926447001896,0.05861461828379022,0.07690715583319063,0.03717389051461195,0.07219663250670116,0.06287492709677323,0.09192861142240982,0.06488363352226012,0.039531165493715936,0.09195406927162886,0.05519759741481778,0.06209940312602247,0.070669558918523,0.057558130786693584,0.06519514116946945,0.04278100167338328,0.06167061983001687,0.06255406812721787,0.05238425341161679,0.061441260768061,0.042195947979309034,0.05423242438833353,0.05246648146986477,0.06397986662948041,0.029086480181342522,0.10523164894383563,0.07842193759822857,0.0667696601353287,0.0502662981097719,0.05650728587220222,0.08261697259177758,0.08089060722454022,0.06984473520022116,0.047073655995103714,0.07309923379556238,0.07225271394977817,0.06794580747105483,0.07320978073082951,0.0671036851309631,0.06563542155867086,0.06988958446008386,0.06007406035369933,0.05163580324097239,0.08869127899386753,0.04934586837915789,0.0661985671972779,0.04578492191725325,0.05963889272714018,0.07029773126853311,0.04212707138412719,0.04045310521122436,0.03552347483906182,0.04554644995193469,0.06781684929207576,0.07623314536733905,0.05618391025782321,0.07030382419810688,0.06630789554663019,0.07820990364906077,0.060053026501170725,0.05163625358794077,0.07896908267395464,0.04718902429203342,0.04478046274051706,0.038608537010255684,0.08472319238144321,0.052806678868067225,0.07072177267587054,0.028371196740378024,0.032185529599557894,0.04274733161473876,0.09322150458696932,0.045542184901233074,0.06514358968707579,0.049871926620359,0.06895016068379833,0.04129276388848857,0.051233987781080015,0.07746677816904401,0.06290038494599226,0.05786574425717539,0.06948933196908225
102_kit_copy.png,0.05551334362173055,0.05109989034846052,0.07234763119613852,0.0,0.05476929095677863,0.060878591967420737,0.08320570853459441,0.06877235310423635,0.06219813507611616,0.11319476351379987,0.08640571514674744,0.07589281551414573,0.06727619451089573,0.08707559301688805,0.07131472068739264,0.07139721365562213,0.07772519785596699,0.1038210827655075,0.06105356501018111,0.07502714267670141,0.05334224737760307,0.08034189917992351,0.045664758749658696,0.07342369554086559,0.05943340205451464,0.07454765561024235,0.05991635944173079,0.03797362725766873,0.0703709523874112,0.054088445813405106,0.05373889709285662,0.04898908761611542,0.0662351247747206,0.1396163552455567,0.07056645595373534,0.06656671259852531,0.07613812215698601,0.08579854146922039,0.08629225420168418,0.060473862497732456,0.06469718987730222,0.08148983360262319,0.0712744543702093,0.06849141606888831,0.08957425045310208,0.045805611386805944,0.05599065842634143,0.05579875763576536,0.0655707570321945,0.07483828835091211,0.05829635543205336,0.08895232128960717,0.058297812436951424,0.06118983470464878,0.08420012762303264,0.061403828987679265,0.0737125004026632,0.06935303578361651,0.06962674077647024,0.06090672540745279,0.09030391850606034,0.07376423732204418,0.07573731335502332,0.07934048646797431,0.06415584633017024,0.053906134764158065,0.04899851841145564,0.0557520804970304,0.09001609381119424,0.05646866199690426,0.07110846177582097,0.05804212132283748,0.07776750398000765,0.07622170125613947,0.07617097099468828,0.08779267784572653,0.07327598173519856,0.08282339044933817,0.06343327786471542,0.09575311682487797,0.08221724992073898,0.03841107311006864,0.06367869047154817,0.05137862863096221,0.051221060173984534,0.051062670496064055,0.06916688353963807,0.04407582868080773,0.04355867141498393,0.041151010557404444
102_kit_copy.png,0.02092073596655275,0.030127285007536253,0.05539516727899729,0.05476929095677863,0.0,0.0374073821722789,0.12364819085556167,0.08413612537150972,0.06834876204386753,0.08819059912889116,0.04510314958894446,0.07373356074619009,0.06355301717633932,0.07399213937910176,0.07128383218355328,0.035332660179409836,0.07887360911663333,0.12842096802769654,0.08667647963880687,0.09345632079454347,0.057043490165693767,0.09884739786342678,0.059069548194967014,0.07915579122889405,0.09350124952740058,0.09464902500411143,0.08490102645200348,0.049635573934892374,0.07350436063022303,0.02588149326153788,0.02659325339974883,0.0416283518530135,0.053617303411362394,0.13769758575877844,0.06325107277946096,0.04410780331557096,0.0944838271396673,0.08643612681262003,0.12536292667461257,0.048593153157811764,0.03208102261186829,0.07921613772267277,0.09915599150084009,0.05275192197489764,0.08921712530708359,0.03540667602823222,0.03213580599603616,0.04515348248542361,0.05036259288803602,0.05127788336500949,0.07898953372452422,0.13778021118199868,0.08682260398458519,0.11623638044803275,0.07197527372618562,0.04359960000712082,0.07122261148683584,0.06433405127470437,0.07763099586655653,0.0719512198998683,0.09890165142763174,0.058733562865469935,0.08681865682586132,0.09431290721962349,0.06781748507603125,0.07011298304745661,0.07321918503517166,0.09566132551629891,0.08937397850711148,0.051435928659953944,0.07241271957858553,0.0703647005118484,0.08066188394653984,0.11757107640766806,0.09533315503125506,0.04962834189239829,0.05789236771031325,0.07319388613194133,0.08274948056450837,0.10778686466109322,0.08063563136737639,0.05410852599000038,0.08421591625792824,0.04551582635807705,0.06585315107244039,0.08169148308051732,0.0814478188795622,0.0594669661491668,0.05117589302214387,0.047676723567917856
102_kit_copy.png,0.04335662457211742,0.04256504705648989,0.04517602632484674,0.060878591967420737,0.0374073821722789,0.0,0.07706811513793121,0.05582773878773806,0.04709119303587683,0.08388303037521438,0.0658466342868963,0.0576277491298236,0.056024301993988,0.05414714986529856,0.07553542545814607,0.047678339518804846,0.0555137409867027,0.09730013813466065,0.059059057759700884,0.07022305314475707,0.06263942212324702,0.04697987786166369,0.04485937942399665,0.04720515730990493,0.0571953100760737,0.06632816116021245,0.06524878544071688,0.040297444106113134,0.04083828432428027,0.031738705933814115,0.04569972686721269,0.04937715424796918,0.04703935015250349,0.12287793859344232,0.057706665813303304,0.0461529348635098,0.0697789845428205,0.06251549723391592,0.09525990742137902,0.05794217078682928,0.0519970874736998,0.044215091858065936,0.08957427694410014,0.04108221343521701,0.06224261346200477,0.05414905721716512,0.03764219837985294,0.044260444446893366,0.03643216905749702,0.03959993612490531,0.06723500100877733,0.08938168738757224,0.07279506415483972,0.07545433651281819,0.04856618532169821,0.039389279707641056,0.047464795582742636,0.044602787615945716,0.042251075746452704,0.04284614303782652,0.06515254364444933,0.05070384992616417,0.05533696655606857,0.05382946981552095,0.049291243940978946,0.04115731541496348,0.056961235616447614,0.0663480029178245,0.055532761523372276,0.03945733508188054,0.04884807603297947,0.07501495681755377,0.04512341520252694,0.07088270548961295,0.061035365694454,0.05630293431249722,0.04576735838548174,0.06115616464600393,0.052398638023610444,0.057160368449517884,0.04594757664587512,0.04254894052961666,0.04612000655281334,0.04198454981409683,0.04728825957109162,0.053437032168972665,0.051667618929746695,0.038356713581871205,0.03471534044959246,0.044310221032411445
103_kit_copy.png,0.1262245993713368,0.12589115717766164,0.11768559699265713,0.08320570853459441,0.12364819085556167,0.07706811513793121,0.0,0.07707341333756068,0.06740973563255426,0.1498739081470205,0.13541798238624125,0.08831221930138367,0.11705818419254588,0.12057314228166749,0.13509110996010665,0.13639844071865626,0.11447931201394312,0.13687718603716714,0.0874824152754301,0.10038088227315656,0.1325272051954569,0.08379701410423124,0.07715765471166769,0.09801213669185505,0.09412932460246548,0.12533876688430257,0.10807927229863878,0.08757306747108884,0.09028044748170216,0.1124981827175272,0.1264665946394089,0.09994441658768816,0.11305449367861209,0.1904881845909704,0.1184118741978527,0.10458759979688825,0.11326997145753892,0.1253274287370958,0.12887030833826407,0.11079192401788329,0.12227497698462086,0.08571602200999284,0.12404902614852253,0.09692910521461517,0.10642705523521478,0.09649597739491345,0.09900854260515446,0.09423407000913842,0.09915599150084009,0.1081574472341702,0.11177248831429099,0.07459608115485483,0.09208980914613352,0.068572663960205,0.08701590879806309,0.07830362880050457,0.08137679651353036,0.11117323544520974,0.07918604394877793,0.09683188325141612,0.12005717711076036,0.1288303599130587,0.11532657360767551,0.08681486861312626,0.09077132567736423,0.08220368652968779,0.07333540104404213,0.07303745678788387,0.10143848239217534,0.09024600918411119,0.0806423865719037,0.11591671357339406,0.10487168926101575,0.08632240095757548,0.10061244008795867,0.1349069445409895,0.10868830034603605,0.13235374213959117,0.09072115172687412,0.09459985771155077,0.0992172386885557,0.09008952685805749,0.07919754104197352,0.0979266767318332,0.083432895334702,0.08069099755350329,0.08204431668483592,0.060662001566571755,0.07455615922064751,0.09625543913173962
103_kit_copy.png,0.07804854697934793,0.07334403710943793,0.038943648136813946,0.06877235310423635,0.08413612537150972,0.05582773878773806,0.07707341333756068,0.0,0.017419447232474905,0.07742187592718508,0.09964853862938539,0.03358655901855301,0.08337003219609951,0.06839615443955216,0.0980573038436956,0.076286869111581,0.04405913935197503,0.08061218683401628,0.036383028255934535,0.04858022555071595,0.08184849522653403,0.04388353052525917,0.056839800880942315,0.04949103904900287,0.04504913444372283,0.0671309708590545,0.055005696624241485,0.07121529997134746,0.04521735228195578,0.07894945284432786,0.07376887324671988,0.06838820714010818,0.043511067091313804,0.11253717746679925,0.07537873120410699,0.06403539176159634,0.04535944999601582,0.05522382350298316,0.06351071105229888,0.0858501724246088,0.09200400480313586,0.040052879211221026,0.07813294729944409,0.07566684729995277,0.058701137883737986,0.08624698108585116,0.07388262559276249,0.06809134901487401,0.07998927750359008,0.07668041938005143,0.059673622425710726,0.06602483923143054,0.042026749974144795,0.043533451984748006,0.03841239765997595,0.0557079464941177,0.05967060245192213,0.046759340302090724,0.028349712540880923,0.0394609378576285,0.05081039672071108,0.08648855249795273,0.07889673575801559,0.0425323041827802,0.0744790439250419,0.06083255061264137,0.06593710104556783,0.04326554852048825,0.057135281474272825,0.0742621886142113,0.03764799990844714,0.039736629675343416,0.047557381621266104,0.07364680272725876,0.05518424595175164,0.08538371892923813,0.03533774645105392,0.04932727169845863,0.0527529286328271,0.09332320352885526,0.06313663166746641,0.06119799393207792,0.041679691407422226,0.06868021741268149,0.03128846492930937,0.04467720082974047,0.07375467407171299,0.06044880201348535,0.054075332769322304,0.05820578270938914
103_kit_copy.png,0.06781854471595705,0.062213950202009816,0.0348926447001896,0.06219813507611616,0.06834876204386753,0.04709119303587683,0.06740973563255426,0.017419447232474905,0.0,0.07543356757027109,0.08027365836869704,0.02970732321391334,0.07087629466806133,0.06896655861165124,0.08665406825437472,0.07150627709499291,0.04403444974170223,0.08472488780532461,0.03767785526335865,0.054398416982721964,0.07118729898630616,0.04866873197552479,0.05128485049752218,0.04762906626225161,0.047010792856501116,0.058931000274658696,0.04805750517528151,0.06342456232632498,0.04754482488814449,0.07018834993718448,0.0681378142256237,0.06470214369395577,0.04302127502657571,0.1204961064590564,0.06601018970945516,0.0566744970525056,0.04838559618733074,0.057341063547877935,0.06431179883626104,0.06677824321872838,0.07236683716979508,0.0336500579411112,0.06514464932700148,0.0700396029825896,0.06716662774255999,0.06712336794258622,0.06241785141474643,0.05905124291524744,0.07502610952777367,0.07511988766121369,0.060666955383225085,0.059116013405716594,0.046031765037986005,0.04342335539644937,0.039910887461153566,0.04356574451148898,0.05258905531829028,0.04252181374751407,0.02665089781171648,0.032933688369222724,0.05749068470541152,0.08012149407534142,0.08107667999552404,0.045627936262234714,0.06126589036032837,0.05147606252214654,0.05253379509615608,0.04452148674263301,0.05507213604759398,0.06818163033655866,0.03652859629075167,0.038780278151241965,0.04449078367578063,0.07548058909198185,0.051398841262548234,0.07156980250854927,0.031114021706512007,0.04507141337316456,0.045233326353838366,0.08440953896338399,0.05226075237825589,0.055330688189507815,0.040960540280728375,0.06070992378221951,0.035116890999503214,0.03829477762820366,0.06918190393558743,0.04739708459147918,0.043140325572248006,0.06012913513884677
104_kit_copy.png,0.08260566093556876,0.0850630189056718,0.05861461828379022,0.11319476351379987,0.08819059912889116,0.08388303037521438,0.1498739081470205,0.07742187592718508,0.07543356757027109,0.0,0.0783489019163377,0.047586627683220306,0.09694931784620131,0.09445177303190955,0.1298001953552168,0.0863983506492626,0.08934743452696825,0.10856895839938419,0.10096246564647371,0.0825028228807625,0.0957007441215415,0.10636003300990293,0.09013665434376084,0.09419772435968077,0.10014609255658047,0.10399735386717723,0.08689222232771532,0.09819651403895746,0.08865972821507462,0.09041027986362005,0.07799983003375599,0.09158038725176876,0.06495786129906767,0.10854453369909278,0.10174805619651994,0.08821457348221429,0.10602206085554478,0.10786352960973034,0.1436320726726492,0.11008638926423686,0.09257091216347957,0.07574298242862687,0.10886133954593158,0.10537819714558438,0.09340996154778636,0.10031730387760407,0.10447133080602145,0.10481751516980509,0.10514150007714185,0.08667398948498117,0.09912118232927503,0.1571658202969366,0.1003114758580117,0.12245914240373801,0.06832356910462978,0.0818345344705107,0.09488397366667634,0.0811351191374361,0.09081659879319726,0.08266878898415297,0.08464517639190061,0.09577139561359937,0.10315062209340775,0.1029794637543805,0.10446399279953489,0.08966747227558103,0.1237254650971562,0.10353010564186205,0.10644016827929736,0.1184646442661611,0.07375136269694471,0.07815819322067807,0.09276318382802973,0.13569642926776337,0.1202893177275216,0.10058184298509887,0.07399224534309445,0.06978510396339255,0.0919131141884939,0.1315203618288876,0.0845294372209967,0.10177052056294855,0.09822342889307467,0.09258791938428979,0.08980183461818214,0.1056166161289065,0.10536696496237008,0.10807230516612609,0.10185182143626137,0.11005716969328094
