,101_kit.png,101_kit.png,101_kit.png,102_kit.png,102_kit.png,102_kit.png,103_kit.png,103_kit.png,103_kit.png,104_kit.png,104_kit.png,104_kit.png,105_kit.png,105_kit.png,105_kit.png,106_kit.png,106_kit.png,106_kit.png,107_kit.png,107_kit.png,107_kit.png,108_kit.png,108_kit.png,108_kit.png,109_kit.png,109_kit.png,109_kit.png,110_kit.png,110_kit.png,110_kit.png,111_kit.png,111_kit.png,111_kit.png,112_kit.png,112_kit.png,112_kit.png,113_kit.png,113_kit.png,113_kit.png,114_kit.png,114_kit.png,114_kit.png,115_kit.png,115_kit.png,115_kit.png,116_kit.png,116_kit.png,116_kit.png,117_kit.png,117_kit.png,117_kit.png,119_kit.png,119_kit.png,119_kit.png,120_kit.png,120_kit.png,120_kit.png,121_kit.png,121_kit.png,121_kit.png,122_kit.png,122_kit.png,122_kit.png,123_kit.png,123_kit.png,123_kit.png,124_kit.png,124_kit.png,124_kit.png,126_kit.png,126_kit.png,126_kit.png,127_kit.png,127_kit.png,127_kit.png,128_kit.png,128_kit.png,128_kit.png,129_kit.png,129_kit.png,129_kit.png,130_kit.png,130_kit.png,130_kit.png,132_kit.png,132_kit.png,132_kit.png,133_kit.png,133_kit.png,133_kit.png
101_kit.png,0.0,0.05540851874206332,0.04112828128099455,0.08795172979860055,0.0919382541457352,0.10201354897994819,0.09790113940961942,0.09592355990695511,0.12566280477363556,0.09155951234522897,0.08935376587552535,0.09536971260869787,0.12846224100280945,0.14740825849449757,0.10950493834591069,0.12371910725760105,0.16085932771356848,0.09240518447907253,0.08950979785461066,0.08530106701501983,0.07540991110892592,0.08341064289625866,0.07933269811451926,0.09042686322846016,0.10498634230099535,0.08462930828401061,0.10100153986874028,0.13136176022298218,0.09236666656776704,0.13971585543459641,0.1169138082526453,0.11078848018812426,0.10714141149124401,0.16477660459154708,0.11345834894536166,0.12285992471470264,0.100939815843058,0.10641987617471671,0.1393868637286102,0.1766498699609883,0.16639986699399656,0.17241462163225252,0.13260034684134048,0.13654893607912888,0.12714590330488984,0.09178887140718484,0.08653554752866544,0.06735529663136242,0.11964330824671132,0.10493691009845318,0.12013376258640307,0.07577002973773483,0.05986311253545551,0.08849196072381038,0.0738811156058683,0.08228530529497835,0.09081281058046231,0.11036586929468672,0.06612542555139422,0.07089004349609962,0.10505786799599193,0.1372791869340464,0.12380122935185645,0.07283840342780801,0.07428184493483636,0.11816455423915317,0.06243379899563095,0.1008174804136156,0.07415381394079246,0.08484166012515615,0.07010935378071048,0.07596169210932768,0.09851509478267206,0.09023159808111925,0.13479319219494657,0.11303465192100004,0.09671781301339555,0.11633741711496504,0.07840201636762212,0.09615903838948292,0.09397188860047834,0.0632306217288916,0.06888584054029778,0.0652453945929542,0.10427336357686978,0.08966736631158834,0.09249475054380718,0.11040481106196265,0.08870325292503001,0.0730312843853157
101_kit.png,0.05540851874206332,0.0,0.05004117760751958,0.08813078245507544,0.110016982849092,0.10138123534517984,0.10386709762928881,0.08950775804775335,0.10598309259727079,0.09376886159068054,0.07887411244559805,0.07714292571669801,0.1311840321164146,0.12158282018503863,0.10227705493851547,0.10071970213945547,0.13971050425297082,0.0753602669783986,0.09017501330907751,0.10047871352931292,0.08858560640225965,0.09636638343197867,0.10346154693865783,0.11234376668932888,0.10847253116612954,0.10016590782319446,0.11719233460716183,0.11947985878814493,0.10220298610769663,0.13355942693825096,0.109510792856501,0.08061300805495886,0.08843590577173144,0.16827770788863772,0.13041844226996924,0.10096583000323833,0.09373381400013225,0.11396302895105825,0.12339602304420139,0.18070818491310103,0.16672101736453138,0.1916487552197863,0.10308977227066418,0.11331233056357592,0.13174304515931057,0.09036733795562402,0.0920280586294534,0.08766679262253252,0.11020962538761625,0.07688236025892514,0.10210830728031972,0.08049054017052559,0.08452689408517466,0.08849895434732113,0.06282583927720686,0.06563184527392119,0.09814313467769153,0.11696331992818187,0.08557222887205151,0.06749832153035729,0.10468755033289645,0.12837985399857244,0.14122502110802737,0.08926366999082769,0.07517946591604596,0.09394841757612038,0.08303383493861716,0.09266339223801034,0.07206984658956994,0.07897681804541368,0.06474405245302406,0.07786703066004552,0.10801527004711586,0.1011506841883073,0.13657428796435533,0.11229777831654575,0.07953047990668394,0.09248712113634083,0.10223363619255266,0.1260766736376846,0.1130808787127664,0.08482873251806045,0.093132892198168,0.10171057143414208,0.09108312472555324,0.08828164868952215,0.09417043863158958,0.1228269699130079,0.10425696564901688,0.0968734476275086
101_kit.png,0.04112828128099455,0.05004117760751958,0.0,0.06503762569448801,0.09941584170166307,0.1313487266518938,0.12152650032297818,0.09344304880447185,0.14317648048651876,0.10097634692950253,0.1144590993823571,0.10759914944822424,0.13886705736297156,0.13321676587722076,0.09157980444980951,0.08629360524258967,0.11610781963402583,0.06544866002173544,0.08360659680955129,0.09071998612295562,0.07551325249269702,0.09397864380500598,0.09713358922931115,0.12122405259713509,0.09869798863387835,0.06040567466850233,0.10155888397875301,0.10941582262814442,0.08589329976959181,0.13195062862078966,0.13791756700739033,0.07292359847784835,0.08368667909694938,0.18179749475690166,0.14308572232686756,0.10672695982523583,0.11070222549815789,0.1387249861399099,0.14268335055601433,0.17323830623763414,0.1540829303875908,0.170829983105101,0.08267379578280254,0.11971589358163393,0.15889030480330546,0.08457971713547974,0.07495940519443967,0.08577756059868802,0.11317301440432137,0.0850986757891774,0.1153966687887722,0.06613493581972896,0.05415226262794104,0.06741760345900383,0.05325657548959606,0.051333223060138544,0.11019089625192646,0.1262152215579928,0.0950517146669424,0.08848433131634403,0.12019318189524664,0.14452468685520914,0.15070943422857375,0.09126424367988362,0.08556497033855925,0.10198565395889958,0.06020696569140238,0.0687929101187984,0.08065385717410145,0.08779723429740793,0.05105599476453093,0.0881687175644219,0.11624959945610802,0.10845817304513383,0.1416265981489362,0.15155987474208366,0.08159426111731838,0.14540590990856583,0.08755878882308765,0.12735563253721882,0.11507999539692426,0.08395100627645924,0.0860810944554552,0.09816904287387918,0.07286205988915317,0.0973467358004011,0.09212377060575794,0.12002888472473949,0.10722088448568479,0.09932963999369293
102_kit.png,0.08795172979860055,0.08813078245507544,0.06503762569448801,0.0,0.06831702582808741,0.10502409197335472,0.12306560082431506,0.10626310244768356,0.14227337586869282,0.11002776468533781,0.11711916647028009,0.10337150403595641,0.14040507173338457,0.12021622906363438,0.10294046900510845,0.12014258408878598,0.11509016794021265,0.09309408288588283,0.09255228899178236,0.09857287164963047,0.08204945593847646,0.10971074691051375,0.12300040647787558,0.11992617912492398,0.09547421959638736,0.06954461868221484,0.10436454559249131,0.08727732196777671,0.07801606901561997,0.12532692540813084,0.1284055767577732,0.11388713224136726,0.09245988839024588,0.18080538038530214,0.15089026178192433,0.0961845492206983,0.12646905830223643,0.15605378117672586,0.14187450090959486,0.14648764332689634,0.14887201859710464,0.15830986054290863,0.08893075761711566,0.10449127852762607,0.15951056503391703,0.08721882984386853,0.0940863297124731,0.10855722288720504,0.10910924230659025,0.10758185082643446,0.11718444028971409,0.06367935274650194,0.053281635973842945,0.0700294569302995,0.058590670421465485,0.08090194537174711,0.11449117998111302,0.10545668997309365,0.11517719086912515,0.116163397748138,0.10779550072648925,0.11715355178587472,0.15750050756752454,0.09180577266400258,0.09275343514071166,0.0944236395918775,0.07668187638494939,0.06783168425103792,0.07856000868057034,0.11085378049855643,0.06765345281550561,0.10910717600873476,0.09672793257468781,0.10780548783279054,0.13141111295252983,0.1667902648336873,0.1231843334780095,0.16433131740369566,0.09201131631862436,0.1356544940176968,0.12326889274409447,0.095107716637025,0.07549327828009411,0.10247152535591186,0.09565766975855461,0.09636482046308803,0.10277866198842711,0.10378391589510749,0.11132447255363054,0.11414054512964056
102_kit.png,0.0919382541457352,0.110016982849092,0.09941584170166307,0.06831702582808741,0.0,0.0808380225932186,0.10660915435647633,0.09091959579399234,0.1270673839863824,0.11809920094672466,0.11172435417065796,0.11557370812938794,0.11304723514511994,0.11588487139362136,0.11006805749351922,0.11815236838000553,0.1180839156407939,0.07277834833500896,0.11108690128224918,0.1007381133831674,0.0891974160044624,0.0991553557168845,0.09928468476983776,0.09454014700172753,0.08452766232412101,0.06498660403205703,0.07680315217446587,0.07661578134457292,0.0851595785939171,0.08201342818099677,0.10758680464308779,0.13421897331911437,0.12370917313329599,0.13758327710177465,0.11093569066482656,0.09354699948120038,0.10441352744806498,0.11079086437795738,0.1000127633629071,0.15867411176742863,0.17065535444531665,0.17615779967040956,0.1128422742924573,0.112672334539345,0.12003317626643928,0.08792346390357786,0.09395371577574974,0.08733915195745168,0.0680037167930041,0.09692788662870055,0.11564173701262925,0.059847032499580455,0.05984075413301959,0.05344625103632783,0.09934595844855154,0.11012029774186494,0.13386847092263288,0.1378872877965085,0.09289468514283095,0.09601792084235439,0.06611829947289272,0.0936334660991518,0.12724532402093514,0.07437225871151176,0.08511949771372096,0.10950186539012552,0.06016214292253774,0.05593582206017744,0.09110095316730615,0.11025497797644379,0.08456072308980833,0.09872387033906793,0.0927049036321066,0.09677275534355223,0.14973085675702702,0.12683058095394717,0.12538038424239129,0.13688269616478166,0.06667744497077932,0.07296230182614105,0.06943163457511836,0.09500122282447443,0.07570690168915084,0.055261281774362736,0.08141549986182295,0.08025522063398682,0.09260272785225399,0.10781277285728086,0.0948441576964616,0.09634270047963545
102_kit.png,0.10201354897994819,0.10138123534517984,0.1313487266518938,0.10502409197335472,0.0808380225932186,0.0,0.10185523877502234,0.10441045449227992,0.09562898000756159,0.10496173216371696,0.08052712423896657,0.07578552697165086,0.12315612056498293,0.10890176480910363,0.12492953394492923,0.15006411351371507,0.1782608140492995,0.1270269852142083,0.09415814680844936,0.09412201308697699,0.08809523153556231,0.08143033482078521,0.10383369248062557,0.07168829674326016,0.0873071243406921,0.10940180889012463,0.1002586792987048,0.13461482830442362,0.12174979294635857,0.11299067686407605,0.11740730905712393,0.17208751078713436,0.1518936613187346,0.14701298631114768,0.11644327514356001,0.1198815682840445,0.09000470268199112,0.10750492096781572,0.08926560383369264,0.1860371670823282,0.18341283635090533,0.1921151027511644,0.1409188911334417,0.10048764099568852,0.09584384849353111,0.0963007387385707,0.12169365852128522,0.08103752630026284,0.12957385626704965,0.11739697756784673,0.09793880960898438,0.11326814357866688,0.10234582556970484,0.10373559631448759,0.11352492082370469,0.14235634567488897,0.08576418264462393,0.0968705865997086,0.09668342769780092,0.10072945082677343,0.07662147690917454,0.12670509309572542,0.11044134214840717,0.06551054299340653,0.09892610261892132,0.10093851778414875,0.09728069374202097,0.1119846812094476,0.06286822487424204,0.10700916842849462,0.11207186308434913,0.09892951995768218,0.06104079634907422,0.059609699647182435,0.09067235530828732,0.12107962367523817,0.15084252500326367,0.13070698222178523,0.10587289004497968,0.08446376603659067,0.08777153802920534,0.0876614679319051,0.08661152371135072,0.07777277568863883,0.1351755897531972,0.07572523345986848,0.12318979062362778,0.09056358326989622,0.09649777878278742,0.08865231073559354
103_kit.png,0.09790113940961942,0.10386709762928881,0.12152650032297818,0.12306560082431506,0.10660915435647633,0.10185523877502234,0.0,0.04164920026855512,0.036531377845557045,0.08500918919743727,0.083385820830995,0.09442552045274599,0.13233752964872514,0.14334077765702602,0.1143489763030604,0.13114641489904588,0.17090749576567899,0.11271562083031683,0.0881616709589148,0.07367726737512792,0.07483267225930501,0.08560653471465174,0.09308436068956272,0.09943798817611393,0.10313226383169172,0.11186462400584596,0.097710616150947,0.1438869955478168,0.11578939783629993,0.13014603533602453,0.10303199540370578,0.14591398076202522,0.12747476255588552,0.14852496003038196,0.12339432762031999,0.11520092680346483,0.07362852393853747,0.0883277165352997,0.10597117164810455,0.19856134276723703,0.18541971489752018,0.20429025953548774,0.1527748843720913,0.09849257743424711,0.11155515616549361,0.07517369087845005,0.09275942210629284,0.07380453013022548,0.14046496788019447,0.12055883714266824,0.09575324927986872,0.09212337324078579,0.1001474965794823,0.11223923321064111,0.11565026711403259,0.12625710382606303,0.09495719478555431,0.08346841976321706,0.06773817102757951,0.06171597241884441,0.08355186640737988,0.12068686813671226,0.11927932193217283,0.09700762453312262,0.12226382427440097,0.13973633297616406,0.10682187707159607,0.12646307133665524,0.07208470803953049,0.07155396089165733,0.09783345490935413,0.06576249887678165,0.08961393396832618,0.09883338412540721,0.12061854785249138,0.11963861934003939,0.11854983931620167,0.0984037796084587,0.11501792698826596,0.11548702958345136,0.09914203074481664,0.10208385608903003,0.11290354797117097,0.10229435356030547,0.12090621360136844,0.08048346707402054,0.09541109154780336,0.08989402329173335,0.07407757284812566,0.06304537017885026
103_kit.png,0.09592355990695511,0.08950775804775335,0.09344304880447185,0.10626310244768356,0.09091959579399234,0.10441045449227992,0.04164920026855512,0.0,0.05050172361030347,0.08097119284090326,0.07305949729834205,0.08537306954798296,0.1027251766631685,0.12229227560641076,0.07506144851930152,0.07012487750562446,0.11850231446552617,0.06470036879707985,0.07302826441152688,0.07688108869101418,0.05667783491827216,0.06968284871054542,0.07658809825150936,0.09112402682669196,0.07997868110433137,0.08054818458249347,0.08056172148254648,0.10837358728805091,0.08131356250095367,0.12002199706522132,0.08994750861699186,0.10334368848790232,0.11319868418152557,0.13325003857089324,0.11460583302109273,0.08285872944086603,0.047031879691025846,0.06896311478189232,0.09955505189692493,0.16514265720394083,0.13643073324539734,0.16572665125808939,0.11780313755143501,0.07890749110326334,0.0852304685049583,0.062220096113579815,0.07950796255825898,0.056055561371801454,0.11891658069454736,0.08208633140789678,0.08708486486623968,0.07749472617208897,0.07913126056461006,0.09161167312058016,0.0907628750489553,0.09960681530730409,0.10112165005433837,0.09342548527270045,0.052046917041214,0.04986156864008362,0.06942591251951857,0.0874125055313204,0.09953629627023697,0.07308961756323507,0.09855485777089057,0.11509838014963814,0.07171865542713662,0.10859897270028473,0.058606485547359144,0.06291013363331033,0.07611867776434622,0.05359528939190228,0.07738802043155335,0.07805906390561246,0.12105334460507644,0.11690490727726799,0.10025838789772523,0.1039925589965125,0.08610761194460037,0.09550354513133597,0.06658093826453015,0.08405008260952873,0.09431489404448457,0.08252502233720971,0.07953914246307792,0.06989750526852978,0.08247625240962131,0.08162710995502032,0.06724395496615088,0.0648498574996228
103_kit.png,0.12566280477363556,0.10598309259727079,0.14317648048651876,0.14227337586869282,0.1270673839863824,0.09562898000756159,0.036531377845557045,0.05050172361030347,0.0,0.10503511222858386,0.08840175887512025,0.09964978370629829,0.13461655021930308,0.12524647224675878,0.11847574399438476,0.11818002498207092,0.15643601978898758,0.11088021851470686,0.10149419296127826,0.0905665502616887,0.09374088709663742,0.09156854577559725,0.11823025191455738,0.11217578727007926,0.11814961331619822,0.13820997464493578,0.1285070372806758,0.14815620533617713,0.1321987168184352,0.13085104026970806,0.11381407006847821,0.14248387333996804,0.12513385901363638,0.16231243843492027,0.14701041668432735,0.11935786774167834,0.07061493448034417,0.09277041587052393,0.09468701309545402,0.20186882335887213,0.1835635436393631,0.21194576063497028,0.14254366352278558,0.0963243687089178,0.10710249621496615,0.08879382564769434,0.12730922030846537,0.09528957733930343,0.15106481096871438,0.1135281262344805,0.08673409755977635,0.11563564408305538,0.12456382571551128,0.13424617957421137,0.11930456785340693,0.13828997745933946,0.10445890652789058,0.09880185983761236,0.093444161426394,0.07044907434094638,0.08228241777618028,0.11702594464780114,0.12753269836883274,0.10015886121768736,0.1347907550231171,0.12007709834136693,0.13006899951341333,0.14281289153695254,0.06869939689533977,0.07609374973508998,0.11089216595487117,0.0748620242852518,0.09229326001190186,0.10383899068025493,0.12948060795357252,0.12913238378293157,0.13111155274548458,0.10923594875072684,0.1310971946244891,0.12990668916776726,0.11088109271764579,0.12094051944396889,0.13350970333472922,0.1238280117509829,0.12444247045300028,0.08065226771421263,0.1091060898778109,0.09819468616008531,0.09150160302327981,0.08309632720324567
104_kit.png,0.09155951234522897,0.09376886159068054,0.10097634692950253,0.11002776468533781,0.11809920094672466,0.10496173216371696,0.08500918919743727,0.08097119284090326,0.10503511222858386,0.0,0.06076028316969673,0.04235092031846832,0.11395375710170674,0.11501919855617704,0.06141532608087508,0.10092596105102725,0.13294849153898713,0.09628240696785306,0.0821351013354854,0.07852220602621474,0.08193027293781352,0.0879768432648439,0.10393064953384323,0.09796916829286073,0.10929666611847966,0.10583241179981107,0.10795598319326316,0.12065327755106192,0.10741842785886613,0.11023926881454282,0.11287112298943924,0.13657420849136093,0.11923749264609895,0.15290402798805747,0.12960977806053686,0.07818134635305851,0.06977260021226694,0.09282323892082878,0.0876508450416481,0.16954286497813753,0.1503939264406441,0.17644003476466663,0.12823211370190724,0.08862584622844483,0.12740427000981658,0.0954028528473797,0.11067695308592573,0.07594714855134499,0.13693522781410694,0.09974183992485874,0.09241461527441297,0.10451980933263028,0.10359365754641647,0.10507084858508398,0.09170855070080342,0.10356361675451797,0.06807717633086541,0.08572937347305887,0.06859409517770587,0.06886056812806562,0.08125321600717506,0.11793477132122698,0.12247935503532426,0.08994454162519949,0.09502162089304755,0.10820613768876419,0.09835347320297783,0.10794610205095434,0.07020498628402094,0.05823852558309872,0.07439914707463091,0.054626372021776004,0.08712227015562302,0.08646656496949079,0.0962483925262324,0.11190054579933306,0.10406281312359811,0.08774086145335125,0.10127158910384981,0.11130338571910559,0.10244651785366121,0.07008871729315402,0.10126276760146691,0.09298851625826743,0.09103279182907409,0.06884538878612734,0.08323847789930205,0.07951720791661221,0.08226437740644221,0.0739746288293267
