,101_bat.png,101_bat.png,101_bat.png,102_bat.png,102_bat.png,102_bat.png,103_bat.png,103_bat.png,103_bat.png,104_bat.png,104_bat.png,104_bat.png,105_bat.png,105_bat.png,105_bat.png,106_bat.png,106_bat.png,106_bat.png,107_bat.png,107_bat.png,107_bat.png,108_bat.png,108_bat.png,108_bat.png,109_bat.png,109_bat.png,109_bat.png,110_bat.png,110_bat.png,110_bat.png,111_bat.png,111_bat.png,111_bat.png,112_bat.png,112_bat.png,112_bat.png,113_bat.png,113_bat.png,113_bat.png,114_bat.png,114_bat.png,114_bat.png,115_bat.png,115_bat.png,115_bat.png,116_bat.png,116_bat.png,116_bat.png,117_bat.png,117_bat.png,117_bat.png,119_bat.png,119_bat.png,119_bat.png,120_bat.png,120_bat.png,120_bat.png,121_bat.png,121_bat.png,121_bat.png,122_bat.png,122_bat.png,122_bat.png,123_bat.png,123_bat.png,123_bat.png,124_bat.png,124_bat.png,124_bat.png,126_bat.png,126_bat.png,126_bat.png,127_bat.png,127_bat.png,127_bat.png,128_bat.png,128_bat.png,128_bat.png,129_bat.png,129_bat.png,129_bat.png,130_bat.png,130_bat.png,130_bat.png,132_bat.png,132_bat.png,132_bat.png,133_bat.png,133_bat.png,133_bat.png
101_bat.png,0.0,0.0417397200092231,0.036458898474627244,0.056743055755709704,0.09066451397283593,0.09444647483228019,0.13064327137124188,0.08783646746566343,0.10163822451820292,0.08207517869767711,0.07484032815776942,0.08442244007948141,0.09217911030088677,0.10995329848954682,0.11679528752693602,0.06105094240136455,0.09366854018069837,0.06704612019198974,0.08419363732848673,0.07103412803502063,0.07263799902682677,0.08928242561751576,0.09500519647419658,0.08414388723396682,0.09145860813328743,0.06131418344995032,0.05954453179174091,0.07717487386046318,0.04268576653504519,0.09485806547048858,0.07314750039418616,0.04549964035820919,0.048726588315477715,0.059870609487931103,0.06846707084159154,0.06103563060443551,0.0753934337080785,0.08469826435218697,0.09989739506597728,0.0714415595865201,0.07344049083369075,0.10387496545573849,0.08870929287260754,0.0850157589649776,0.08985701536732216,0.04061546853886677,0.08731631671704898,0.10037039183789032,0.08733096623902414,0.08160838081933064,0.09729229679920925,0.06168230236019956,0.08881915104192273,0.07491739047137869,0.07519957258363952,0.12434405639488444,0.10554469306893755,0.10586745939035958,0.09878577980173708,0.09374496671035215,0.06541178455231478,0.09706346755721629,0.05812946214372794,0.05549413764807409,0.0767718398146563,0.08595203031248355,0.09935530977089746,0.07549139741922584,0.08034134286896244,0.06947574208703289,0.061071949762894984,0.08625137859154353,0.08060556408447961,0.07960619117938772,0.08343602127248351,0.07207911843892156,0.05275210741188452,0.10787910631664077,0.05276543238395248,0.05079132320204527,0.058799790360837045,0.10599289426658509,0.11057549256302313,0.07201045377172466,0.0575828998699609,0.042125005086271705,0.05818591446077892,0.05783006088267151,0.07665729273866917,0.07600280613845178
101_bat.png,0.0417397200092231,0.0,0.039416591926730526,0.07081650448524379,0.07683706065209395,0.07550066926857713,0.13627780071309514,0.06766375781378486,0.06936657268366941,0.07646486212812997,0.07473060244344487,0.08544364156704642,0.06667074274824825,0.07548731780551121,0.09451892771221204,0.06938922248708512,0.08124325539187183,0.04910233663319341,0.078203996156474,0.0853641155906093,0.08012732209493345,0.09908727385164706,0.11217984039279583,0.0872223266556238,0.0774715995307067,0.04382434963539905,0.06140698141645895,0.059857814335826265,0.05660766026418096,0.07635749411264059,0.09057825928286967,0.06743143176003641,0.057226172088914784,0.07871710029958146,0.06446552609850742,0.09642641203377966,0.08702245207460546,0.10239215832546378,0.09531161784976172,0.07827774709531521,0.07202907694342209,0.07086138023610467,0.06755458841042139,0.08920207842013628,0.0759586456445408,0.04580267088601164,0.0680925146187924,0.08213329994761143,0.08478022750045366,0.1050593250008901,0.1214980489909685,0.06849282009179014,0.09106794538361507,0.05822268396620678,0.07978805188166627,0.1002544937209977,0.08971963305093233,0.07377676756416751,0.09864781468338801,0.06363360279270225,0.055115051464591835,0.1103235366796479,0.07896955951192142,0.08456345166261747,0.09761490417464225,0.0737549389816945,0.059356684123881176,0.060897003211132894,0.07862758721684293,0.08770697946672146,0.0683163105711374,0.09011681258614868,0.08716174174286184,0.06472693926822115,0.079939500918072,0.10557690612268422,0.062271780050964454,0.10442987239392165,0.06571118581337121,0.0642814401523848,0.06982261521676847,0.1032027298867626,0.1087437989871537,0.06751466647621407,0.08930621453385168,0.07451753534534933,0.07453912550883912,0.08286821321820281,0.08847121827226134,0.05579499591402848
101_bat.png,0.036458898474627244,0.039416591926730526,0.0,0.08511602739296364,0.11261495503735863,0.11240080180833911,0.14141922661544226,0.0932747514932446,0.10258843013073415,0.09673460830622072,0.09500167317144304,0.10102162004533555,0.1003047736354804,0.11082646827946696,0.1454614085496836,0.08786030936399569,0.11803294696035926,0.07574062472979182,0.08858865286704642,0.07523001074051028,0.08249021316564464,0.12293929174515072,0.13028066258860715,0.10404530257382305,0.1223162234687355,0.085859073399986,0.082123683715284,0.08525192621345734,0.058870945181859646,0.11604911558213216,0.10046027579460282,0.0865085532015537,0.07315361981475799,0.08956998540240035,0.08684546571598595,0.09788911249646082,0.09509213993011467,0.10921925942189437,0.11228564543939457,0.09028177203160959,0.07455011927307009,0.10435349884626399,0.09524674139529998,0.11274518478424889,0.11114330061730393,0.05752554685897304,0.10826243105982647,0.11604047951673635,0.1241920775385158,0.11998845946156722,0.13731187682575952,0.07663159647046658,0.10727029019722856,0.09233935434867746,0.09846971570284646,0.14043423832234414,0.11837873395917076,0.11003507620082631,0.12217147665486094,0.10333619153542684,0.08747057379925849,0.11702938847756028,0.09265790860139389,0.09388261393672348,0.11276685442073309,0.09970530883841433,0.08843105791907058,0.08115636491794997,0.09212594286760611,0.1009013774047468,0.08009738726702753,0.10857470694598215,0.10248492980097412,0.10258856258572491,0.10247891634439488,0.10992201262073553,0.06853462288686607,0.1279740913799564,0.0695943157947384,0.07613859899495268,0.07191919228310861,0.09900801278519145,0.09530335265833989,0.08199612955920677,0.10104127636596061,0.07231088818170883,0.08870772990371689,0.0914537337896284,0.09295333621272817,0.09175546625852149
102_bat.png,0.056743055755709704,0.07081650448524379,0.08511602739296364,0.0,0.0636347154146244,0.05463784262397364,0.1306010712111938,0.09220411780313764,0.11314779497408556,0.10813927440944138,0.10215511687404522,0.10591209672223711,0.0964080007900675,0.10214796430454565,0.10700622792770031,0.0728622188351421,0.0985889781765038,0.10699891641221171,0.0833430113779896,0.08079232562141525,0.08009550640615914,0.10096744595412521,0.10458555999003094,0.10266305527251396,0.09719017400135299,0.0766666175700168,0.0665894683659336,0.09941422575077608,0.07752744255480049,0.10253730250431059,0.08867329160612591,0.06459485515146068,0.07551121268583971,0.08729075290383725,0.10841364167724898,0.10260707979342942,0.07429291817206174,0.07642915226262792,0.08993807782165164,0.052911371292743814,0.06030614798846434,0.0832743732017911,0.09460361943328754,0.07310061132746604,0.06753347508489826,0.06987570317705483,0.09734996770217508,0.09538422967568227,0.08233637993940568,0.0934153657114083,0.10312209128840355,0.06649441866458239,0.07093505170195136,0.06866318370087288,0.08367412236382776,0.12226170499454925,0.1083592291670551,0.10791351812323358,0.09779321508316907,0.10591244110521303,0.0833041490837082,0.10259041695559512,0.08203345537559581,0.07125606961749542,0.09322648489462093,0.09265147128884421,0.09804940952624763,0.08304233854902232,0.07514444481649585,0.08627212104309268,0.10812041281876095,0.11593194589732869,0.10873304364190617,0.10531721486785017,0.12149638005808527,0.08593865235841935,0.09656400627815465,0.13152995157021685,0.07768736871061321,0.09264039805161883,0.10942750515832722,0.10428925817575785,0.1106880528141494,0.051684043348597775,0.07729214950925956,0.08356407875752558,0.07650666492320579,0.08274942758251214,0.11503056319438199,0.09271679809027455
102_bat.png,0.09066451397283593,0.07683706065209395,0.11261495503735863,0.0636347154146244,0.0,0.035378701534189094,0.13229487914170857,0.09925445854095216,0.10648952100884501,0.15564801855810995,0.11842241761511518,0.14955890368805558,0.09628595676160479,0.09876458700321966,0.08749536937352409,0.11679600278388602,0.09132135827188836,0.10102053391441146,0.08544353560305373,0.11963959950697078,0.12490036735596954,0.1271784872326105,0.12592424443434724,0.11854692530640554,0.06992126769386753,0.07226161492515548,0.10767602632484674,0.10845245098953415,0.11762909169360969,0.11039400273471878,0.11047835007281837,0.08706359259472762,0.11112740601841575,0.1265931951195528,0.11536143576123692,0.13665741671654041,0.11013828512960666,0.08472607990024128,0.10009215688435336,0.09517089766760534,0.0766936383881267,0.06853332482795693,0.08075293350717094,0.10380309537776589,0.09011106403955071,0.10189831313800923,0.075898458096751,0.08840896442661605,0.07294751984917502,0.12829979820217252,0.13806618150699446,0.10229165147849428,0.10285209503529036,0.06897442643810092,0.12744135740722218,0.11138036855972056,0.11533049427540132,0.10776334065473869,0.1429785927303615,0.1096012066331764,0.07596990431875328,0.1165669616139079,0.10575656807211664,0.10823821828752023,0.14601178552718364,0.07561680580445318,0.10166278167348519,0.10040867133021258,0.11698491009167156,0.09617514491635626,0.12442972828289167,0.1358818662547917,0.15905168796401625,0.12682165348757168,0.17287556500000845,0.12662477238934378,0.12632200677152305,0.09406354745406675,0.11260531231403326,0.13217333844221058,0.14921049408042752,0.10805884773906749,0.10963214811901201,0.10493873797732534,0.11140553500796002,0.10444187281608208,0.14207617687848728,0.10603191550685542,0.13972250467513125,0.10361453245295627
102_bat.png,0.09444647483228019,0.07550066926857713,0.11240080180833911,0.05463784262397364,0.035378701534189094,0.0,0.1446225446023638,0.09768860213148689,0.10282751138900992,0.1516580768722141,0.12219839150897815,0.15384337229134848,0.08408740842591766,0.08886111278298747,0.09014531690015481,0.10982039315184389,0.09568559127060139,0.101050733652299,0.1024722935948581,0.13096828942750616,0.12494341522795815,0.13267359445121674,0.12315047798237777,0.1183366132721172,0.08615783887708683,0.07052740822246673,0.11131840611505484,0.11138508395739044,0.11930740239020854,0.10588875815286958,0.11138908409811088,0.08260449533165026,0.10003798279314302,0.11301878381311004,0.10516189814571486,0.14685155016844043,0.10481648202087734,0.0872927662196964,0.0871636490947284,0.09998025890818085,0.08479442667546022,0.06465673812313177,0.07572706133874063,0.09103512303691108,0.09924057725792312,0.10376558412438985,0.08627813449967203,0.0839912461026443,0.07988098230316554,0.12587136840204605,0.13613159689432253,0.10498965367576374,0.11457852080200337,0.08343292182570039,0.12724206562816298,0.12134408330973878,0.10465284712532408,0.11244215425644644,0.1383927625321495,0.10585018725956763,0.07430245493139465,0.11318888251221126,0.10015504651395424,0.10056178929950177,0.12747198100108004,0.07099017946909503,0.09360758439396222,0.10290870629833027,0.12310621152447432,0.10175867908677694,0.12677762544865145,0.141943218558788,0.1580365794060251,0.13048602080624183,0.16764030798222518,0.12131677109064931,0.11890479220037198,0.10000825989322215,0.11054012708049687,0.1329585051362867,0.14609772232517204,0.10416305506058599,0.09926977033788109,0.10244665030865197,0.10832224773364219,0.111568189736582,0.12317519408364896,0.09957049614884472,0.14546230924362058,0.09871894301341244
103_bat.png,0.13064327137124188,0.13627780071309514,0.14141922661544226,0.1306010712111938,0.13229487914170857,0.1446225446023638,0.0,0.0513898608141764,0.07677986658709479,0.138046975533338,0.10055434532902252,0.11922000858732196,0.13516176145216452,0.1418881967556369,0.110829011415289,0.13710204162943807,0.15473558910893614,0.15405151206378875,0.13999485862707972,0.10690746948660879,0.12597990202145393,0.12056241342741802,0.10597021797217132,0.09648220207587699,0.10368833637379349,0.13655481708071748,0.12861967700479626,0.10591959367471249,0.10350734987445387,0.12709694794031434,0.0812266985180301,0.10507182875201537,0.1473456337748783,0.12424068852011527,0.1528579866332781,0.13327687395201615,0.09677333814551148,0.0853764339047477,0.10917915205069995,0.09783032897157284,0.08838848688504852,0.12555837725894037,0.13857131185965965,0.13831551478155324,0.13625313759382052,0.12275200038825207,0.11435403608370642,0.1170074274400964,0.1230179435186487,0.1605655955261155,0.1688345486696856,0.08560974012542755,0.07521265913672404,0.10745368737739958,0.08063473067343929,0.10968732886815191,0.10498186532230858,0.12370954400726997,0.08575141398351704,0.12508813555083476,0.13572254939193606,0.11287684504503903,0.11676887600178354,0.11609717025277078,0.21347641050789812,0.13740478075626072,0.11720428204732602,0.07788340209690026,0.07815681568877453,0.09935218383311595,0.14776903939826014,0.14888491971320206,0.1923446737411053,0.1864977925581065,0.1757185524301358,0.12969555591253656,0.15481731383821928,0.15839706890880823,0.12015710115577038,0.17878273969478975,0.16533874357222422,0.09670962729496824,0.09791483525566147,0.1290989786342681,0.0854055740027092,0.09786704549500447,0.14301655433070593,0.07801376429878115,0.11310612463400038,0.13016402272376637
103_bat.png,0.08783646746566343,0.06766375781378486,0.0932747514932446,0.09220411780313764,0.09925445854095216,0.09768860213148689,0.0513898608141764,0.0,0.03089123241209646,0.08651268579726457,0.07566772150289147,0.08456861740725607,0.08397320573290634,0.08978294653650332,0.08717723897677776,0.09232436044372638,0.09728768736553184,0.08883266145097768,0.0839907957556758,0.08231002139624932,0.0820972986811298,0.10613324357476739,0.10547141896806334,0.08378458982610026,0.07422684962268344,0.0723160009443512,0.08264044361613565,0.05064024503961362,0.0639816680173545,0.06831842985098924,0.08206272792854807,0.08518734115997517,0.09978253009801252,0.10076134598854236,0.0886524431905843,0.11010991327059139,0.0736774528121148,0.08292972531589982,0.09466086648028305,0.07016824326959104,0.0695842492154426,0.07500753933807258,0.08831688171705743,0.11124033714351589,0.07968094877615828,0.07452919138453395,0.07285678818052188,0.08820702354774235,0.08293327510965154,0.12825357141040616,0.14208576661981653,0.06299490482738035,0.06331279680514323,0.056252310015038276,0.06286610559439021,0.07596701679995521,0.07043688848179874,0.06063360321655831,0.07343503368807247,0.06485899689398356,0.0740151335654935,0.1104316994250818,0.0999442841326974,0.10381215529913213,0.15877432721341822,0.09729187294323882,0.053542227922614094,0.05195456942167398,0.06440006684208643,0.0979441342996119,0.11101111053655077,0.11622186338104812,0.13243536090488162,0.10952986637516682,0.11943779108308761,0.1129868091783468,0.10240524487854841,0.12207115524487855,0.08880444853795122,0.12113144006761356,0.11138111030766862,0.08731276692329726,0.097570346315759,0.08313243443371998,0.07344586850631463,0.08710118332109795,0.09533479747314022,0.062392896894492234,0.09437444580831889,0.06131760078871118
103_bat.png,0.10163822451820292,0.06936657268366941,0.10258843013073415,0.11314779497408556,0.10648952100884501,0.10282751138900992,0.07677986658709479,0.03089123241209646,0.0,0.07747305653560477,0.05734053372791503,0.08145936895475425,0.07194321961842787,0.07563590581411717,0.08354407805392461,0.08847010565033919,0.08879748140543864,0.0760157072545492,0.10661495588507064,0.1080048061028478,0.08968138004960813,0.10540267482787202,0.11490369780425658,0.08536146649079468,0.07041601357525906,0.06676830909442322,0.0845780482025964,0.044411284190341904,0.06869097275792913,0.056396182625974234,0.10151951835550677,0.09728970068139087,0.10639825952022897,0.10295813850087232,0.07896317518136786,0.11061522906024357,0.08966220056694973,0.10021409494882372,0.10526730582734145,0.0803443098607548,0.09236110345815607,0.08861199143641396,0.09770380796442335,0.1207004580187615,0.08963732551968995,0.07024572943917073,0.06510430353682384,0.10100350020260318,0.09010165973520867,0.12182979576076203,0.14447562552664106,0.09529818691370118,0.09065450037553635,0.06991016796564387,0.07475857693748811,0.060809132570279534,0.059387201753746344,0.06447675828172184,0.09441174513370965,0.0664166675850213,0.06398455553615234,0.11737408934544769,0.1072944234965405,0.1135153840643719,0.15734447558843923,0.10641688269192628,0.05239156492710528,0.05515486743480669,0.06690147934210777,0.10139686503408651,0.0996122459619242,0.09868574979273448,0.13455177972883392,0.09977807961032381,0.11178054157772754,0.12249066669153286,0.10207267688781219,0.128908296429607,0.09738509476571777,0.11454704949620487,0.11008098510061493,0.09821794525645833,0.09696492104410981,0.0925979064905913,0.0915080403358296,0.09009689135554233,0.11060587773789765,0.07628032583503874,0.10857364730605623,0.06395194511743352
104_bat.png,0.08207517869767711,0.07646486212812997,0.09673460830622072,0.10813927440944138,0.15564801855810995,0.1516580768722141,0.138046975533338,0.08651268579726457,0.07747305653560477,0.0,0.03373957102384961,0.0274768871339367,0.09444430257043224,0.10165660927091691,0.1253955370933315,0.07020970168169083,0.110507304733793,0.07877874485226921,0.11879909311776582,0.08214228039598326,0.07045084923782219,0.0984531853200028,0.1193776035352978,0.09468637731149854,0.11441530976242031,0.0848926288055909,0.06587304581204867,0.06993141374615786,0.06081233798105545,0.09560564143819406,0.10716061746490047,0.0964069411501417,0.082566931096278,0.09169792781054664,0.07759647809597126,0.09253618246490902,0.07380890114491978,0.121611562918028,0.1289064155687384,0.08768689929012607,0.11707365493546373,0.1325211652478796,0.11081438838431179,0.12538851697882247,0.1043730227118983,0.03207879736802388,0.07643402660628706,0.1164421360306398,0.10820801854963269,0.09646638694998333,0.10849372396464707,0.09037033143841455,0.09013408471694051,0.08856481096871438,0.0874119757113575,0.1248993342070418,0.1134920190040063,0.08552902205407387,0.0808682488221042,0.08092133678239077,0.08594908981168925,0.12004014339895175,0.10135092964329973,0.08728362682533575,0.09278956886218415,0.12221272313897558,0.08670924900351462,0.05679166673730929,0.07050226826522532,0.09294923010801548,0.06705237206755255,0.06607151637016528,0.0888428869762623,0.08617688590475447,0.0633349432795941,0.10575013075956696,0.07552008717021885,0.1546632951749931,0.06561494401710344,0.06590454360884546,0.07319266754602649,0.14136733075007246,0.15284651603108057,0.08750387298392903,0.07180779763590106,0.06919059298297958,0.06303400554064531,0.08248753757483185,0.0953584539344855,0.07510627128816605
