,101_bat_copy.png,101_bat_copy.png,101_bat_copy.png,102_bat_copy.png,102_bat_copy.png,102_bat_copy.png,103_bat_copy.png,103_bat_copy.png,103_bat_copy.png,104_bat_copy.png,104_bat_copy.png,104_bat_copy.png,105_bat_copy.png,105_bat_copy.png,105_bat_copy.png,106_bat_copy.png,106_bat_copy.png,106_bat_copy.png,107_bat_copy.png,107_bat_copy.png,107_bat_copy.png,108_bat_copy.png,108_bat_copy.png,108_bat_copy.png,109_bat_copy.png,109_bat_copy.png,109_bat_copy.png,110_bat_copy.png,110_bat_copy.png,110_bat_copy.png,111_bat_copy.png,111_bat_copy.png,111_bat_copy.png,112_bat_copy.png,112_bat_copy.png,112_bat_copy.png,113_bat_copy.png,113_bat_copy.png,113_bat_copy.png,114_bat_copy.png,114_bat_copy.png,114_bat_copy.png,115_bat_copy.png,115_bat_copy.png,115_bat_copy.png,116_bat_copy.png,116_bat_copy.png,116_bat_copy.png,117_bat_copy.png,117_bat_copy.png,117_bat_copy.png,119_bat_copy.png,119_bat_copy.png,119_bat_copy.png,120_bat_copy.png,120_bat_copy.png,120_bat_copy.png,121_bat_copy.png,121_bat_copy.png,121_bat_copy.png,122_bat_copy.png,122_bat_copy.png,122_bat_copy.png,123_bat_copy.png,123_bat_copy.png,123_bat_copy.png,124_bat_copy.png,124_bat_copy.png,124_bat_copy.png,126_bat_copy.png,126_bat_copy.png,126_bat_copy.png,127_bat_copy.png,127_bat_copy.png,127_bat_copy.png,128_bat_copy.png,128_bat_copy.png,128_bat_copy.png,129_bat_copy.png,129_bat_copy.png,129_bat_copy.png,130_bat_copy.png,130_bat_copy.png,130_bat_copy.png,132_bat_copy.png,132_bat_copy.png,132_bat_copy.png,133_bat_copy.png,133_bat_copy.png,133_bat_copy.png
101_bat_copy.png,0.0,0.048382258321564175,0.08778136618951782,0.07155366949067776,0.06501889655879822,0.09200106430234156,0.08468101871239342,0.07875805538271652,0.08404316845901227,0.07019370111881029,0.07841534133969008,0.07986418701034037,0.06310235231586436,0.052049751578015724,0.07690461269736859,0.052765670802935816,0.05947896657132734,0.09233262563514821,0.04738664713820928,0.07480392952631554,0.0694331180710146,0.05116447540194258,0.06998847535616615,0.05151428903247246,0.07681629170954685,0.06555163053153235,0.07349911541258991,0.07615404324687236,0.06907061525237246,0.06138976226766346,0.07751292548781585,0.0655820686884031,0.1182634186442374,0.06321560133294224,0.0666516957205806,0.062068143748209126,0.06345857676794564,0.044184865629180226,0.06028079610323778,0.08808317813140554,0.0908527590056678,0.04664927020479015,0.07634906997522983,0.07723013408259771,0.08862309116463762,0.07137051072948997,0.07635714972966468,0.11011547638020214,0.07894431359068743,0.10066528962926158,0.06657905740366177,0.04621582449311079,0.07275225470183433,0.05338725558345481,0.06892454388859037,0.05975479084403279,0.054798007198769816,0.053011056918770616,0.052273388584371916,0.07420955100089344,0.04483553752566449,0.056024964268941546,0.07024363665031719,0.057218330753463276,0.06623099217900963,0.07905149616918972,0.08223544923646597,0.07445257941789307,0.05413194403236232,0.036337278302134735,0.07151369457447398,0.04497045617922657,0.08970355301505717,0.06844370578122594,0.07147774628998871,0.06574771689981573,0.0814644022444021,0.06424798202172521,0.10481303819111842,0.07005774931632036,0.06539395611056198,0.061047180679627666,0.06999507161470464,0.0937574174794813,0.04021563990383559,0.08239394487837881,0.0822178592136964,0.07158977672115197,0.045031968276923795,0.0756137593396663
101_bat_copy.png,0.048382258321564175,0.0,0.08286058381073647,0.05888350191498126,0.0706893476941387,0.09049698490055502,0.07812915908670892,0.09725383186989989,0.1012704499909296,0.09245538492056093,0.05702717171083538,0.08843934960149069,0.08349578496430299,0.048271790859291674,0.09023970432655215,0.04857641084698294,0.07033095098020925,0.11445923183734785,0.054869956749736826,0.08934836171190352,0.07870419918348381,0.05331037870683242,0.07285684116251834,0.03483465590524604,0.06353010246294222,0.08668490377621763,0.07970243297565538,0.054761608567316045,0.06665230501353803,0.056008804760072084,0.06466648681044995,0.0754924040771554,0.11220630489994454,0.07596394384417027,0.06572130537466336,0.07257264573439826,0.06365325911332731,0.042280931101364216,0.06581415632316812,0.08113453633547685,0.101509133884233,0.060030164769769856,0.04539733212336583,0.07535888944649505,0.07174723921413706,0.07793431779533866,0.04878065644269558,0.09021864398302537,0.07575895650050946,0.08491374213111391,0.06184718233266595,0.05585934254852731,0.05197231839043226,0.07691171228487192,0.06589209283971631,0.05484598239641392,0.08000326475061159,0.09255814350237279,0.050983144519627044,0.0813549944220554,0.0376294827007424,0.054537786123972753,0.07881747469155997,0.04347970174950799,0.06051725475269709,0.08649353280560435,0.08193527973646342,0.08594230811616377,0.062017651905741156,0.06570652339769734,0.07732780639276537,0.04930266156118013,0.09543196645434315,0.08361200097317334,0.049420149137961666,0.07379549669985741,0.07599827617776855,0.07567296672052459,0.08045279049816634,0.07697987362310399,0.071232015791178,0.05221783696125781,0.07206905185962575,0.07906585429018542,0.048473466828183986,0.11650094604652594,0.07364256416755544,0.09684653277339139,0.04215965531184784,0.07156336519599948
101_bat_copy.png,0.08778136618951782,0.08286058381073647,0.0,0.09341414712549367,0.07427002994966281,0.058536867204229126,0.05359399133299314,0.08082835337889493,0.06941211070948394,0.113416042821321,0.10136110218658823,0.13826298313222796,0.13111944706293244,0.10657079539115966,0.11974556349955845,0.09411544331943655,0.08581231678825674,0.07922615131997235,0.09258100523377355,0.13442290102284926,0.08561029643638851,0.1040922446225393,0.025195085008553386,0.08625458400231922,0.0796930551623114,0.13451686459327628,0.040797912043104456,0.06041176759807598,0.03226932062669641,0.12108219330205838,0.05486407574814822,0.10844113933332544,0.030114993184396033,0.09351216381863714,0.07277116927451122,0.06778018575064038,0.08127541546362205,0.07456095409131214,0.07659087980631485,0.06243573283849568,0.11111249158645908,0.10692333759449857,0.10728133694345587,0.04531075954142172,0.07542993830352496,0.0506020980022821,0.08897944807170977,0.06575431315835434,0.036479481980187245,0.044348500524733714,0.11249606343767538,0.09232867847642423,0.06189899872504123,0.09769681434091249,0.07254316125346072,0.0884204350288138,0.1141458698202682,0.12000745350723863,0.08042584915305095,0.06677535569993043,0.06362189377152128,0.0803028514486549,0.12445918627283115,0.08875642035831088,0.09538213688682873,0.054234755596170414,0.040354002387156696,0.05440148993850702,0.08769836989232371,0.10846903435437416,0.07486318988917018,0.101984117481007,0.1122876587552536,0.1030869907158588,0.08574198318817672,0.044739825549359735,0.04789130065290781,0.11273130350121996,0.10596237663671981,0.1159413766926688,0.07287525240623038,0.07464265232959721,0.04408017320450375,0.05950291443365208,0.06959873979142894,0.14895199492051003,0.030859231286335054,0.11884293571969895,0.08088255396110355,0.07660118480459399
102_bat_copy.png,0.07155366949067776,0.05888350191498126,0.09341414712549367,0.0,0.057299949518753945,0.0633032865368085,0.08497273758398705,0.10547523367179645,0.11636986858769505,0.06986550414276826,0.05372438002587221,0.06296406930553744,0.06911546451223516,0.04938618767833747,0.07068412896750376,0.03710262972959677,0.04873167458712191,0.07138277606163201,0.05009596099168745,0.04735668581930519,0.049861197766109644,0.0502743248822104,0.07042250386980509,0.03822023195941837,0.05390761826005419,0.06378354184221358,0.08652232852059016,0.09965677732980915,0.07257794393402772,0.053161711225232056,0.04382848223111002,0.03763067479565907,0.1035900547706684,0.027818779956020778,0.04925540162048614,0.04910132997526373,0.07345500790067538,0.05305977386436267,0.04980991119369704,0.06191187335014059,0.055051234650056124,0.03992813310094734,0.07323507963405973,0.06762563726745152,0.07515554454471929,0.06761419315625206,0.07476557056099875,0.06848863451408316,0.06323833060935224,0.07696686654301388,0.030941141452605292,0.030167418869728624,0.04017378412676342,0.04235293363432768,0.0468050902558903,0.029721681334908934,0.05858923990756548,0.06103825321325207,0.041033311052637744,0.051710428382752194,0.04489193686071935,0.06445379058632861,0.05951343135991649,0.047995728167603,0.04707956348769038,0.06466129457481318,0.06839490936263926,0.06172349586231807,0.050643635887376304,0.06538322725631251,0.06970131293625381,0.055964882685144435,0.05754777280641821,0.038269134341997524,0.049979135689859566,0.06377538261478444,0.07165348757169532,0.07021409918738342,0.06345105332447198,0.031894525984914046,0.042846275492817276,0.03980722818540472,0.06079729109410792,0.08531166341427843,0.041933024822701226,0.08849940469428974,0.07508399235872454,0.07281363434454069,0.04818286057851251,0.051569867146584625
102_bat_copy.png,0.06501889655879822,0.0706893476941387,0.07427002994966281,0.057299949518753945,0.0,0.043880007222505735,0.09990473307246417,0.09558855474438943,0.11790234633949503,0.07758559029573286,0.07541965979624399,0.06608033787254819,0.0943013041624352,0.058163582549341064,0.08875056584772045,0.04124709340768329,0.03534982634620898,0.057402337226591604,0.03475099733309828,0.06532280128953949,0.02314121143122605,0.04149528756932164,0.05083580158793399,0.036505972978334245,0.054597655779784815,0.06935994993413275,0.059781122896190975,0.06599267915968021,0.061771868424934206,0.07215949212729933,0.062099694527002036,0.04179362919045204,0.06630503451883019,0.04043683973836221,0.033061904800253616,0.032245293291377264,0.03718204974204131,0.04833645538576825,0.05897738601241387,0.083046630090722,0.03845862445174242,0.049079209991811146,0.08272661883310761,0.05913853075414155,0.0733060755090934,0.06194988793248146,0.0941377752308743,0.07428364632271045,0.049398453010479515,0.07769550144704429,0.054163627266145875,0.0381585079337361,0.03809800249396855,0.03896325147544266,0.030416672671293,0.03881879606254757,0.04326798569231771,0.050803853444168934,0.05568863455646855,0.0652749850378842,0.05053285053312606,0.056974242696537725,0.0680953756465923,0.03615030483721382,0.05949223856139896,0.052840852255676696,0.04890166732223056,0.04527184426514386,0.025601986740089955,0.06937820223185598,0.09084645414810877,0.0569002533387134,0.050803879935166996,0.06688606158118626,0.05417856818910094,0.06332702247114808,0.07018999237906975,0.06465838056501705,0.04751128728449039,0.0586225655832342,0.04773171888007077,0.045832128875951006,0.05951753746462918,0.05568709807857608,0.03596489434118366,0.08284079503512076,0.07203551425597177,0.05447929400006457,0.051175840040147524,0.03394506169647493
102_bat_copy.png,0.09200106430234156,0.09049698490055502,0.058536867204229126,0.0633032865368085,0.043880007222505735,0.0,0.08651358649120167,0.09773893502796605,0.1112541654445488,0.06770431553194767,0.0716899656761435,0.08020464931852445,0.08230474968761825,0.0742808382769069,0.08202397159825914,0.06349343892150694,0.06501741306290187,0.04435811675706114,0.07362203364399145,0.085487007331013,0.05209905132556725,0.07418547068357795,0.04732330716164013,0.05703999335393828,0.07223983932467881,0.0985966605659665,0.0715773524430211,0.08591377731115946,0.056990958516368484,0.08356060843676838,0.046276435896870693,0.05977018211395624,0.06344194042110951,0.047272709355179354,0.05216586162289372,0.056069283708841455,0.06404241187610515,0.07087433433419865,0.0514226831608805,0.07588282840784444,0.0679920342628213,0.06946625830969622,0.08766027583698832,0.035734449148303926,0.055614565725649934,0.052834600380114005,0.0847722537100114,0.05157940390591753,0.03910707110438216,0.06709210856477288,0.06941150141652663,0.05636227414834627,0.04489948679519118,0.07080267618421121,0.04327956225850804,0.06735728345622338,0.060343950642819943,0.0835381175793416,0.06041539686482211,0.0493834855965265,0.05869178656139207,0.06609951735520647,0.08270783671542148,0.0634204562216123,0.09228170993670981,0.05341591884344965,0.03392347153298536,0.03702352760913008,0.04892450256263314,0.09090264155517847,0.07633762586403037,0.08585716604811955,0.07831109926198199,0.06143450556353336,0.07282544932971413,0.051770615930541886,0.0627527771043177,0.09724699719237806,0.07528042310998384,0.06490358124386464,0.04859582874862467,0.04998393056052408,0.04953292131707321,0.08122484414815967,0.06387713453866672,0.1338767361140546,0.05044121817053604,0.0846000622220564,0.05336463227103716,0.05431775189336463
103_bat_copy.png,0.08468101871239342,0.07812915908670892,0.05359399133299314,0.08497273758398705,0.09990473307246417,0.08651358649120167,0.0,0.04238766333289823,0.030136662820880233,0.08957809164783337,0.07977949528926476,0.12055920801664233,0.10327878554244241,0.08899234918780718,0.10311266049306322,0.0788105075590474,0.10175332790515113,0.07586820537686734,0.09349287837198617,0.12984854142683477,0.10784085331531656,0.10295832393785931,0.05162361738182475,0.09075158988374465,0.07997174046281685,0.11490828074693593,0.06472134966761223,0.07240871943786531,0.03681027507404755,0.10289996426894166,0.055612049080825954,0.11499983363653166,0.08128844903471055,0.08965761762427038,0.07908341782195683,0.08333517004253821,0.08059366962631165,0.07470183321945745,0.061186549820878344,0.05421170842778256,0.12927320992908053,0.09832846570072717,0.11157997823075738,0.062836859532436,0.08022838525286402,0.05729073065139878,0.07520399658032995,0.08007590306753043,0.05936828718106946,0.05465204179898031,0.09724482493053,0.08709834878429634,0.07924856270440461,0.09401498945446352,0.07507064089565851,0.0954187209552696,0.1033894384417019,0.11467900115797447,0.07750707097722542,0.06428067191343845,0.05505854616554462,0.07900129572770143,0.09739280364617853,0.08530816660252316,0.09311032186774693,0.07636867331385855,0.05671309443680572,0.058196643315028496,0.09548150462087779,0.09401573120241169,0.06284255509703751,0.08458498884411081,0.11104819793395648,0.08720041860015637,0.08266378218550319,0.059309609620174175,0.05827873891828561,0.09108784012322335,0.13618293644873136,0.11054129268441548,0.08179201641848488,0.09058816691617655,0.052123926372827034,0.07800706207624997,0.06616818202240338,0.14180761113927398,0.047325611878478835,0.12179043013751589,0.0725694138326245,0.09606306150319677
103_bat_copy.png,0.07875805538271652,0.09725383186989989,0.08082835337889493,0.10547523367179645,0.09558855474438943,0.09773893502796605,0.04238766333289823,0.0,0.030122384172879046,0.08752562209340775,0.11581731934834694,0.11045376642653826,0.10194438098378666,0.09324328018744599,0.09850325330650056,0.08240064710090977,0.08951846041100475,0.08320062226295011,0.0930904536191367,0.12219508013420965,0.11362280506185762,0.09668665959957479,0.055440970214793106,0.09231514157637122,0.09700200844151552,0.10665649377016495,0.0740985802096562,0.10028061384517051,0.05189591835177676,0.11254631686116012,0.07954595064960168,0.1159397607417818,0.10173663857631865,0.09459728808473056,0.09335893988535537,0.09807627139836872,0.08381603464090082,0.08519377847252485,0.05715989161155133,0.07960849589622643,0.12630452271274606,0.08746358017574762,0.14375162654728613,0.07334697761023234,0.10124602529063798,0.07002312558174228,0.10317417259076034,0.11251577274029678,0.081260050684697,0.08050367970560657,0.11363022254133859,0.08541990563270674,0.09738056480503476,0.0929820259637213,0.08183461394350522,0.10506115287976225,0.09819261986222982,0.10071400657485385,0.09789303316418652,0.07272933998843722,0.0712845474405035,0.10591479880404797,0.09605564402371569,0.0917505654238645,0.08916952098341357,0.08604175532320713,0.06727945290366766,0.060124366759180314,0.08584709946882374,0.09116122018809036,0.06574019345634197,0.07316363341205756,0.10622869064109064,0.0831725418049144,0.10008145452110218,0.0808132270189531,0.0685339606119123,0.09444379924146729,0.15108361957739858,0.10754388922608993,0.078301721448638,0.09476457873802824,0.05823608841126926,0.09876596453512321,0.06508149478741931,0.13031125969146673,0.06839204833483958,0.12310875466029636,0.08867405984507204,0.10599374197852585
103_bat_copy.png,0.08404316845901227,0.1012704499909296,0.06941211070948394,0.11636986858769505,0.11790234633949503,0.1112541654445488,0.030136662820880233,0.030122384172879046,0.0,0.1108014607772162,0.11724854850522948,0.12783331821580357,0.12533667409544902,0.10290081198088241,0.11965835513365874,0.10147448365865686,0.11038120758261383,0.09071484686931508,0.10897257524715043,0.1449055479355671,0.1276925980336474,0.11554321699052084,0.05902565261103754,0.1165353048711224,0.09678401401776471,0.1328203810719487,0.06948297412952709,0.0857147239510837,0.04983770025075329,0.13402105907195894,0.08259170017954531,0.14259126784645548,0.09713925830291459,0.11861352367574685,0.09882721172283893,0.10768590746715534,0.09257075321749075,0.08790735737670452,0.07157822664595992,0.08537810283763103,0.14909615893242545,0.10858225688045398,0.1472881218179014,0.08441253244617442,0.10762948164110253,0.06649733267437863,0.09713483430622416,0.11010612505785644,0.07837073049881071,0.0696605697811038,0.12360018916691962,0.10438467875108293,0.10963055865912319,0.10365604384705251,0.09238261414865134,0.11539099971516875,0.11943453269031556,0.12088345783396037,0.10552061275162206,0.08386610262739846,0.07587334463050777,0.09952646810992449,0.10996627907863887,0.10419357269045126,0.10326008289775057,0.09636768149088792,0.07198952588318874,0.07559206321218392,0.10934167432433117,0.09696915960381347,0.06501563816602618,0.09036760286560541,0.11824058340383481,0.10558877408985412,0.10501519099797729,0.0775767158113535,0.06815736458225596,0.10352356236531968,0.16391535575079297,0.13593015934441344,0.09556746790986459,0.11535099830796702,0.06951606138621247,0.08776335231077792,0.07690662601322762,0.14161327317686834,0.06062014578949959,0.1413541912149916,0.09808085434104818,0.11900688850723007
104_bat_copy.png,0.07019370111881029,0.09245538492056093,0.113416042821321,0.06986550414276826,0.07758559029573286,0.06770431553194767,0.08957809164783337,0.08752562209340775,0.1108014607772162,0.0,0.055436307799119344,0.043622541211515986,0.04232053514359391,0.05644566781051252,0.07088297039959446,0.06628169594946276,0.08489710578427778,0.05751884463644186,0.07318474673758069,0.05659298425120762,0.08914589101306669,0.07346465062400076,0.08478020100945527,0.06886099198403584,0.09922706684886828,0.06309877603111436,0.1141991697085396,0.11180276752517293,0.08373783321437112,0.06075403129413404,0.06276853924821524,0.06427351934393877,0.1353990413225663,0.04726100033399849,0.08076318552345363,0.07728176503798612,0.07598635522860242,0.07643360275031663,0.047715718317190126,0.08128614431787162,0.09343224047722787,0.05266783954677934,0.09545249697790692,0.06527887921461195,0.06729942711627057,0.06837289534317925,0.07908649077774177,0.0893396196825148,0.07135519893256115,0.10180199186874705,0.0572068071692694,0.048791093895965254,0.07287382189233049,0.06277121483902803,0.07187376022128666,0.08092748269396066,0.05699209762928881,0.06815543073939134,0.07059024487007115,0.06760701409575431,0.06037536896662221,0.07825377274199208,0.05260177099740093,0.0729148299574619,0.09258439608153624,0.08320925832834603,0.07895011511928163,0.056971116758756435,0.06486522227854796,0.0491537026786002,0.07356388590305907,0.062991752398601,0.08601412521214002,0.03493434153127295,0.07208068140781221,0.0805074944093398,0.08647403543096832,0.07595970528446672,0.11676016046339321,0.047380050879670677,0.04838745055720095,0.08058206656912326,0.06805929490711626,0.11686252168023281,0.06886348213786175,0.1038609517177187,0.08464907056862825,0.07995989898664502,0.049602539660203115,0.08987420802511947
